chamber,temp
ch01,ambient
ch02,elevated
ch03,ambient
ch04,elevated
ch05,ambient
ch06,elevated
ch07,ambient
ch08,elevated
ch09,ambient
ch10,elevated
ch11,ambient
ch12,elevated
