campaign,Date,chamber,leaf_type,WP_type,WP,leaf_area,leaf_mass,,,,,,,
1,24/10/2013,6,sun,pre,3.79,37.7,0.37,,,,,,,
1,24/10/2013,6,shade,pre,3.78,22.4,0.26,,,,,,,
1,24/10/2013,7,sun,pre,3.42,63.6,0.74,,,,,,,
1,24/10/2013,7,shade,pre,2.21,42,0.41,,,,,,,
1,24/10/2013,12,shade,pre,2.2,36.2,0.48,,,,,,,
1,24/10/2013,12,sun,pre,3.12,46.2,0.46,,,,,,,
1,24/10/2013,9,shade,pre,3.43,65.7,0.71,,,,,,,
1,24/10/2013,9,sun,pre,2.15,39.4,0.41,,,,,,,
1,24/10/2013,12,shade,mid,23,49.72,0.66,,,,,,,
1,24/10/2013,12,sun,mid,21.37,35.03,0.39,,,,,,,
1,24/10/2013,9,shade,mid,18.8,32.81,0.32,,,,,,,
1,24/10/2013,9,sun,mid,18.8,41.41,0.45,,,,,,,
1,24/10/2013,7,sun,mid,13.8,64,0.72,,,,,,,
1,24/10/2013,7,shade,mid,32.4,59.23,0.63,,,,,,,
1,24/10/2013,6,sun,mid,12.8,25.27,0.23,,,,,,,
1,24/10/2013,6,shade,mid,36.7,29.59,0.32,,,,,,,
1,25/10/2013,3,sun,pre,4.2,45.09,0.46,,,,,,,
1,25/10/2013,3,shade,pre,4,24.27,0.26,,,,,,,
1,25/10/2013,4,sun,pre,5.28,43.63,0.43,,,,,,,
1,25/10/2013,4,shade,pre,3.8,26.18,0.28,,,,,,,
1,25/10/2013,5,sun,pre,3.8,36.27,0.34,,,,,,,
1,25/10/2013,5,shade,pre,3.6,28.73,0.44,,,,,,,
1,25/10/2013,8,sun,pre,2.4,41.79,0.37,,,,,,,
1,25/10/2013,8,shade,pre,2.8,60.92,0.57,,,,,,,
1,25/10/2013,5,sun,mid,15.1,39.03,0.43,,,,,,,
1,25/10/2013,5,shade,mid,20.1,30.6,0.34,,,,,,,
1,25/10/2013,8,sun,mid,11.9,45.01,0.4,,,,,,,
1,25/10/2013,8,shade,mid,13.89,78.68,0.85,,,,,,,
1,25/10/2013,3,sun,mid,11.2,44.07,0.5,,,,,,,
