Cell,ID,wt_mg,c13,n_perc,chamber,leaf,Month
G4,4S4,3.12,-29.62,2.08,ch04,sun,Feb
G5,5S4,2.92,-28.98,2.59,ch05,sun,Feb
G6,6S4,3.07,-27.6,3.53,ch06,sun,Feb
G7,7S4,2.91,-28.32,2.15,ch07,sun,Feb
G8,8S4,3.03,-27.61,2.63,ch08,sun,Feb
G9,9S4,3.1,-27.07,2.47,ch09,sun,Feb
G10,10S4,2.96,-28.05,2.68,ch10,sun,Feb
G11,11S4,2.91,-29.11,2.06,ch11,sun,Feb
G12,12S4,2.91,-28.07,1.69,ch12,sun,Feb
H1,1H4,2.96,-29.22,2.82,ch01,shade,Feb
H2,2H4,3,-32.52,1.9,ch02,shade,Feb
H3,3H4,3.05,-30.19,1.82,ch03,shade,Feb
H4,4H4,3.05,-32.42,1.22,ch04,shade,Feb
H5,5H4,2.95,-29.7,1.77,ch05,shade,Feb
H6,6H4,2.91,-30.02,2.15,ch06,shade,Feb
H7,7H4,3.02,-30,1.47,ch07,shade,Feb
H8,8H4,2.95,-29.16,1.8,ch08,shade,Feb
H9,9H4,3.03,-29.42,1.95,ch09,shade,Feb
H10,10H4,3.07,-29.45,1.91,ch10,shade,Feb
H11,11H4,3.06,-27.97,1.44,ch11,shade,Feb
H12,12H4,3,-30.08,1.53,ch12,shade,Feb
A1,1S5,3.01,-29.14,2.63,ch01,sun,Mar
A2,2S5,3.05,-29.55,2.32,ch02,sun,Mar
A3,3S5,3,-28.3,2.65,ch03,sun,Mar
A4,4S5,2.97,-28.17,2.56,ch04,sun,Mar
A5,5S5,3.01,-28.21,2.02,ch05,sun,Mar
A6,6S5,2.9,-27.91,3.14,ch06,sun,Mar
A7,7S5,2.98,-27.18,1.86,ch07,sun,Mar
A8,8S5,3.02,-28.3,2.39,ch08,sun,Mar
A9,9S5,3.03,-28.15,2.8,ch09,sun,Mar
A10,10S5,3.04,-28.71,2.55,ch10,sun,Mar
A11,11S5,3,-28.63,1.99,ch11,sun,Mar
A12,12S5,2.98,-28.26,1.49,ch12,sun,Mar
B1,1H5,2.98,-30.33,2.25,ch01,shade,Mar
B2,2H5,2.96,-31.22,1.73,ch02,shade,Mar
B3,3H5,2.98,-31.11,1.7,ch03,shade,Mar
B4,4H5,3.1,-31.28,1.77,ch04,shade,Mar
B5,5H5,2.99,-30.58,1.7,ch05,shade,Mar
B6,6H5,3.07,-29.89,2.02,ch06,shade,Mar
B7,7H5,3,-29.97,1.43,ch07,shade,Mar
B8,8H5,3.1,-29.81,1.57,ch08,shade,Mar
B9,9H5,2.96,-29.18,2.5,ch09,shade,Mar
B10,10H5,2.94,-31.15,1.53,ch10,shade,Mar
B11,11H5,2.9,-29.86,1.47,ch11,shade,Mar
B12,12H5,2.91,-32.7,1.51,ch12,shade,Mar
C1,1S6,3.08,-29.08,1.75,ch01,sun,Apr
C2,2S6,3.05,-29.54,1.77,ch02,sun,Apr
C3,3S6,2.97,-28.62,2.08,ch03,sun,Apr
C4,4S6,3.08,-28.28,1.82,ch04,sun,Apr
C5,5S6,2.99,-29.82,1.59,ch05,sun,Apr
C6,6S6,2.97,-27.69,2.19,ch06,sun,Apr
C7,7S6,3.05,-27.48,1.63,ch07,sun,Apr
C8,8S6,2.97,-27.72,2.16,ch08,sun,Apr
C9,9S6,3,-28.4,2.37,ch09,sun,Apr
C10,10S6,3,-29.34,2.26,ch10,sun,Apr
C11,11S6,2.95,-27.84,1.4,ch11,sun,Apr
C12,12S6,3.05,-28.23,1.56,ch12,sun,Apr
D1,1H6,3.09,-30.65,1.62,ch01,shade,Apr
D2,2H6,3.1,-30.49,2.03,ch02,shade,Apr
D3,3H6,3.04,-30.41,1.81,ch03,shade,Apr
D4,4H6,3.06,-29.64,1.46,ch04,shade,Apr
D5,5H6,3.02,-30.42,1.45,ch05,shade,Apr
D6,6H6,3.06,-27.52,1.8,ch06,shade,Apr
D7,7H6,3,-29.66,1.38,ch07,shade,Apr
D8,8H6,3.1,-30,1.51,ch08,shade,Apr
D9,9H6,3.01,-29.43,1.67,ch09,shade,Apr
D10,10H6,2.98,-28.91,1.64,ch10,shade,Apr
D11,11H6,3.01,-28.87,1.3,ch11,shade,Apr
D12,12H6,3.06,-32.06,1.25,ch12,shade,Apr
