"id","leaflight","temp","leaf","gm","Photo","Cond","gm_bar","chamber"
"1-ch01-shade-high","shade-high","ambient","shade",0.228399241434759,18.13275641,0.226914809,0.224620280506838,1
"1-ch01-shade-low","shade-low","ambient","shade",0.168775678751969,12.069830635,0.14640410175,0.165924476940237,1
"1-ch01-sun-high","sun-high","ambient","sun",0.200722820605262,10.4081894575,0.07234021925,0.197497232682098,1
"1-ch02-shade-high","shade-high","elevated","shade",0.324303747350817,14.83270021,0.13554318925,0.318754779756225,2
"1-ch02-shade-low","shade-low","elevated","shade",0.301258679068483,9.811307733,0.08119210925,0.296087321635674,2
"1-ch02-sun-high","sun-high","elevated","sun",0.422841096548084,16.720470095,0.16115219425,0.415649774426561,2
"1-ch03-shade-high","shade-high","ambient","shade",0.29445802432165,17.0359274375,0.164172854,0.290284469618271,3
"1-ch03-shade-low","shade-low","ambient","shade",0.184859242450272,10.1026217475,0.09353334875,0.182178923931486,3
"1-ch03-sun-high","sun-high","ambient","sun",0.221130918869894,12.7591023125,0.094195791,0.217793005970613,3
"1-ch04-shade-high","shade-high","elevated","shade",0.165026930809288,13.0553555525,0.11425565975,0.162425558786253,4
"1-ch04-shade-low","shade-low","elevated","shade",0.13547922317174,9.29533107775,0.08849201,0.133301858998542,4
"1-ch04-sun-high","sun-high","elevated","sun",0.212388139351547,11.72534643,0.08878408025,0.208926501809185,4
"1-ch05-shade-high","shade-high","ambient","shade",0.245854416783647,16.7630924375,0.200775779,0.241166112036725,5
"1-ch05-sun-high","sun-high","ambient","sun",0.249752868119038,13.349875525,0.11615822175,0.245059290488519,5
"1-ch06-shade-high","shade-high","elevated","shade",0.233053413686374,17.199107265,0.17586553375,0.230867721583181,6
"1-ch06-shade-low","shade-low","elevated","shade",0.173140010360077,11.6671630075,0.1261551375,0.171506477672361,6
"1-ch06-sun-high","sun-high","elevated","sun",0.299272912490726,9.5766731775,0.06350283525,0.296511370173134,6
"1-ch07-shade-high","shade-high","ambient","shade",0.20439780442859,13.3610502975,0.17592642275,0.202680960579008,7
"1-ch07-shade-low","shade-low","ambient","shade",0.171150352311926,8.821363372,0.120822012,0.169706812055147,7
"1-ch07-sun-high","sun-high","ambient","sun",0.218947326969781,13.139058765,0.1021104885,0.217065125202267,7
"1-ch08-shade-high","shade-high","elevated","shade",0.216835591951943,14.07637058,0.1293494965,0.212904982154381,8
"1-ch08-shade-low","shade-low","elevated","shade",0.198986812852462,9.49494029075,0.077243941,0.195300216432252,8
"1-ch08-sun-high","sun-high","elevated","sun",0.155878084587664,11.720363375,0.08456748925,0.153156769874746,8
"1-ch09-shade-high","shade-high","ambient","shade",0.207233920394086,17.4864303825,0.195670094,0.205458581129033,9
"1-ch09-shade-low","shade-low","ambient","shade",0.137726280827114,11.0547125925,0.1230348405,0.136547645812329,9
"1-ch09-sun-high","sun-high","ambient","sun",0.184250987836959,15.946479355,0.14039316625,0.182678840814042,9
"1-ch10-shade-high","shade-high","elevated","shade",0.178862007644301,12.8486911175,0.1163178885,0.176476171572554,10
"1-ch10-shade-low","shade-low","elevated","shade",0.29809752580174,8.88552267225,0.0746971765,0.294089516531175,10
"1-ch10-sun-high","sun-high","elevated","sun",0.120468075425447,10.2561756725,0.07595873375,0.118888236064918,10
"1-ch11-shade-high","shade-high","ambient","shade",0.234384204644757,20.392165755,0.264886554,0.230808255367834,11
"1-ch11-shade-low","shade-low","ambient","shade",0.246808871821909,9.691445092,0.1468512895,0.242948837932469,11
"1-ch11-sun-high","sun-high","ambient","sun",0.280000849997256,9.61208616,0.063167712,0.275930359668377,11
"1-ch12-shade-high","shade-high","elevated","shade",0.214252752737279,16.3033589725,0.16350650875,0.212428146638552,12
"1-ch12-shade-low","shade-low","elevated","shade",0.163194531761147,11.0077898025,0.10968017275,0.161797542402482,12
"1-ch12-sun-high","sun-high","elevated","sun",0.300258115739163,15.6108663875,0.1304316495,0.297700608570438,12
"2-ch01-shade-high","shade-high","ambient","shade",0.256865904107587,17.984590455,0.201100168,0.255630912425316,1
"2-ch01-shade-low","shade-low","ambient","shade",0.206664724776638,11.9399855166667,0.123722802,0.205646966876161,1
"2-ch01-sun-high","sun-high","ambient","sun",0.244925152449493,17.69100141,0.17957396175,0.243912542775705,1
"2-ch02-shade-high","shade-high","elevated","shade",0.196997633358959,15.3984588125,0.2706905775,0.196258714299287,2
"2-ch02-shade-low","shade-low","elevated","shade",0.145856877667213,9.29070731475,0.16499755225,0.145240639976042,2
"2-ch03-shade-high","shade-high","ambient","shade",0.235976965981899,20.125939155,0.3482855295,0.234785891882197,3
"2-ch03-shade-low","shade-low","ambient","shade",0.18534970375647,9.77161241775,0.22459456525,0.184368899362947,3
"2-ch03-sun-high","sun-high","ambient","sun",0.231359679715045,18.4821570775,0.20669662125,0.230274370917694,3
"2-ch04-shade-high","shade-high","elevated","shade",0.182836337469763,17.3084565475,0.25996518525,0.183100351001315,4
"2-ch04-shade-low","shade-low","elevated","shade",0.113276095261962,8.27825518925,0.140223856,0.113433320754551,4
"2-ch04-sun-high","sun-high","elevated","sun",0.123483284623038,10.6844391175,0.09225850225,0.123694975022909,4
"2-ch05-shade-high","shade-high","ambient","shade",0.199551926082551,14.99300452,0.16909175425,0.199811443176781,5
"2-ch05-shade-low","shade-low","ambient","shade",0.148940319261282,8.859533605,0.08655457225,0.149139500291606,5
"2-ch05-sun-high","sun-high","ambient","sun",0.191228660542382,15.0187484625,0.1338874005,0.191539089381793,5
"2-ch06-shade-high","shade-high","elevated","shade",0.181971871155614,13.8689448,0.155391936,0.182249212080973,6
"2-ch06-shade-low","shade-low","elevated","shade",0.143533942058095,9.49787581325,0.094389109,0.143742904490284,6
"2-ch07-shade-high","shade-high","ambient","shade",0.263938554934753,22.336526245,0.37050595325,0.264212643747867,7
"2-ch08-shade-high","shade-high","elevated","shade",0.197587721560634,19.6157054525,0.3387345745,0.19724706532618,8
"2-ch08-shade-low","shade-low","elevated","shade",0.0794911169318765,8.78160631733333,0.210477397,0.0793030742949442,8
"2-ch10-shade-high","shade-high","elevated","shade",0.214853191990316,19.109592475,0.33594215375,0.214157438542988,10
"2-ch10-shade-low","shade-low","elevated","shade",0.131778432197033,10.3679553375,0.21139779175,0.131294186813091,10
"2-ch10-sun-high","sun-high","elevated","sun",0.192191302273443,14.84356211,0.156632503,0.191738054460594,10
"2-ch11-shade-high","shade-high","ambient","shade",0.215668671067522,18.9275360775,0.34554328925,0.215774459356823,11
"2-ch11-shade-low","shade-low","ambient","shade",0.156900452989631,10.42372913,0.2092724375,0.156861507062959,11
"2-ch11-sun-high","sun-high","ambient","sun",0.136951164069702,9.94196705525,0.0691036625,0.137192058732542,11
"2-ch12-shade-high","shade-high","elevated","shade",0.151243480150461,14.8531390975,0.2889906875,0.151031573295134,12
"2-ch12-shade-low","shade-low","elevated","shade",0.0815630359678722,8.836509756,0.315579496,0.0814087955274677,12
"2-ch12-sun-high","sun-high","elevated","sun",0.14593422937809,12.2193193325,0.10885243825,0.145836293275639,12
"4-ch02-shade-high","shade-high","elevated","shade",0.239264499287589,19.9624971755556,0.332754729555556,0.236916502732856,2
"4-ch02-shade-low","shade-low","elevated","shade",0.193991358323333,11.01969826,0.208826733916667,0.19197828027358,2
"4-ch02-sun-high","sun-high","elevated","sun",0.199269699893922,18.420815,0.209144448833333,0.197083065351553,2
"4-ch03-shade-high","shade-high","ambient","shade",0.235834933533045,18.6465737325,0.34221046025,0.233953848048915,3
"4-ch03-shade-low","shade-low","ambient","shade",0.224763916340852,11.3242118188889,0.143059406,0.222993377426924,3
"4-ch03-sun-high","sun-high","ambient","sun",0.230411298191021,18.2306537208333,0.251010614583333,0.22863721038955,3
"4-ch06-shade-high","shade-high","elevated","shade",0.194259597802982,14.2760152566667,0.134428176666667,0.191119920549498,6
"4-ch06-shade-low","shade-low","elevated","shade",0.189953639062468,10.166107932,0.079701282,0.186874506465832,6
"4-ch06-sun-high","sun-high","elevated","sun",0.167090537861689,13.7250535766667,0.112768997222222,0.164470101216654,6
"4-ch07-shade-high","shade-high","ambient","shade",0.201316044633117,17.44226588,0.223519148583333,0.198597253999566,7
