TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
11:42:20,21/04/2014 11:42,3,772.9517,8.327283,-36.34645,H1
11:42:40,21/04/2014 11:42,4,322.2713,3.473494,-35.91598,H1
11:43:00,21/04/2014 11:43,11,418.8792,4.660953,-4.695588,H1
11:43:20,21/04/2014 11:43,12,395.4452,4.401811,-4.331025,H1
11:44:20,21/04/2014 11:44,3,773.1049,8.33115,-36.09,H1
11:44:40,21/04/2014 11:44,4,322.37,3.474595,-35.90562,H1
11:45:00,21/04/2014 11:45,11,418.9416,4.660023,-5.042563,H1
11:45:20,21/04/2014 11:45,12,394.6701,4.392637,-4.454845,H1
11:46:20,21/04/2014 11:46,3,773.4424,8.332634,-36.33908,H1
11:46:40,21/04/2014 11:46,4,322.5517,3.476128,-36.02383,H1
11:47:00,21/04/2014 11:47,11,418.9355,4.660654,-4.8934,H1
11:47:20,21/04/2014 11:47,12,394.1619,4.38729,-4.384549,H1
11:48:20,21/04/2014 11:48,3,773.3123,8.33346,-36.08136,H1
11:48:40,21/04/2014 11:48,4,322.5927,3.47697,-35.91292,H1
11:49:00,21/04/2014 11:49,11,418.7797,4.659409,-4.789227,H1
11:49:20,21/04/2014 11:49,12,393.2333,4.377979,-4.151584,H1
11:50:20,21/04/2014 11:50,3,773.3197,8.333446,-36.0923,H1
11:50:40,21/04/2014 11:50,4,322.5723,3.478653,-35.38512,H1
11:51:00,21/04/2014 11:51,11,418.7826,4.659448,-4.787622,H1
11:51:20,21/04/2014 11:51,12,393.2789,4.378857,-4.067357,H1
11:52:20,21/04/2014 11:52,3,773.4381,8.336325,-35.90696,H1
11:52:40,21/04/2014 11:52,4,322.637,3.478202,-35.70375,H1
11:53:00,21/04/2014 11:53,11,418.779,4.658926,-4.890741,H1
11:53:20,21/04/2014 11:53,12,393.5168,4.380346,-4.330918,H1
12:16:20,21/04/2014 12:16,3,773.014,8.328756,-36.25364,H1
12:16:40,21/04/2014 12:16,4,322.3849,3.473593,-36.22864,H1
12:17:00,21/04/2014 12:17,11,419.6155,4.668468,-4.840562,H1
12:17:20,21/04/2014 12:17,12,398.3256,4.434447,-4.202224,H1
12:18:20,21/04/2014 12:18,3,773.5178,8.333288,-36.3574,H1
12:18:40,21/04/2014 12:18,4,322.517,3.475978,-35.96165,H1
12:19:00,21/04/2014 12:19,11,420.5829,4.678725,-4.947958,H1
12:19:20,21/04/2014 12:19,12,398.5858,4.437119,-4.252668,H1
12:20:20,21/04/2014 12:20,3,773.2698,8.330297,-36.39427,H1
12:20:40,21/04/2014 12:20,4,322.4823,3.475416,-36.01382,H1
12:21:00,21/04/2014 12:21,11,420.6919,4.680451,-4.838842,H1
12:21:20,21/04/2014 12:21,12,398.0182,4.431103,-4.184741,H1
12:22:20,21/04/2014 12:22,3,773.4364,8.334632,-36.10035,H1
12:22:40,21/04/2014 12:22,4,322.7106,3.477657,-36.07463,H1
12:23:00,21/04/2014 12:23,11,420.4491,4.677801,-4.827867,H1
12:23:20,21/04/2014 12:23,12,397.267,4.42303,-4.119269,H1
12:24:20,21/04/2014 12:24,3,773.5681,8.333531,-36.3918,H1
12:24:40,21/04/2014 12:24,4,322.6527,3.47725,-36.01452,H1
12:25:00,21/04/2014 12:25,11,420.3313,4.676223,-4.884691,H1
12:25:20,21/04/2014 12:25,12,396.8284,4.418108,-4.128392,H1
12:26:20,21/04/2014 12:26,3,773.4976,8.333822,-36.27044,H1
12:26:40,21/04/2014 12:26,4,322.6268,3.476901,-36.03385,H1
12:27:00,21/04/2014 12:27,11,420.5346,4.678551,-4.870621,H1
12:27:20,21/04/2014 12:27,12,396.7242,4.417331,-4.041888,H1
12:40:20,21/04/2014 12:40,3,773.553,8.33424,-36.29115,H1
12:40:40,21/04/2014 12:40,4,322.5376,3.47632,-35.92842,H1
12:41:00,21/04/2014 12:41,11,418.6657,4.657712,-4.880839,H1
12:41:20,21/04/2014 12:41,12,388.8182,4.330054,-3.868408,H1
12:42:20,21/04/2014 12:42,3,773.4894,8.333999,-36.23991,H1
12:42:40,21/04/2014 12:42,4,322.6717,3.47752,-35.99638,H1
12:43:00,21/04/2014 12:43,11,418.2754,4.653364,-4.881953,H1
12:43:20,21/04/2014 12:43,12,387.6292,4.316837,-3.86288,H1
12:44:20,21/04/2014 12:44,3,773.3935,8.331978,-36.35407,H1
12:44:40,21/04/2014 12:44,4,322.571,3.476684,-35.92728,H1
12:45:00,21/04/2014 12:45,11,418.0381,4.650378,-4.955957,H1
12:45:20,21/04/2014 12:45,12,387.2406,4.312164,-3.942653,H1
12:46:20,21/04/2014 12:46,3,773.4719,8.333338,-36.29439,H1
12:46:40,21/04/2014 12:46,4,322.6155,3.477211,-35.9141,H1
12:47:00,21/04/2014 12:47,11,418.0991,4.651514,-4.858151,H1
12:47:20,21/04/2014 12:47,12,387.1797,4.31182,-3.865764,H1
12:48:20,21/04/2014 12:48,3,773.4879,8.333718,-36.27036,H1
12:48:40,21/04/2014 12:48,4,322.6689,3.477608,-35.96378,H1
12:49:00,21/04/2014 12:49,11,418.0627,4.651077,-4.865056,H1
12:49:20,21/04/2014 12:49,12,387.2534,4.313038,-3.773693,H1
12:50:20,21/04/2014 12:50,3,773.418,8.333761,-36.17826,H1
12:50:40,21/04/2014 12:50,4,322.6294,3.476881,-36.04718,H1
12:51:00,21/04/2014 12:51,11,418.2029,4.652815,-4.826844,H1
12:51:20,21/04/2014 12:51,12,387.3175,4.313606,-3.807651,H1
