TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
9:58:20,21/04/2014 9:58,3,773.2846,8.333305,-36.06477,H3
9:58:40,21/04/2014 9:58,4,322.3805,3.475003,-35.82393,H3
9:59:00,21/04/2014 9:59,15,418.9188,4.659757,-5.045359,H3
9:59:20,21/04/2014 9:59,16,382.7786,4.262341,-3.974445,H3
10:00:20,21/04/2014 10:00,3,773.504,8.333787,-36.28252,H3
10:00:40,21/04/2014 10:00,4,322.5346,3.476601,-35.84158,H3
10:01:00,21/04/2014 10:01,15,419.077,4.661462,-5.056988,H3
10:01:20,21/04/2014 10:01,16,383.1241,4.265966,-4.026313,H3
10:02:20,21/04/2014 10:02,3,773.534,8.334245,-36.26688,H3
10:02:40,21/04/2014 10:02,4,322.6,3.477071,-35.9067,H3
10:03:00,21/04/2014 10:03,15,417.5049,4.643657,-5.12504,H3
10:03:20,21/04/2014 10:03,16,381.5685,4.248519,-4.055677,H3
10:04:20,21/04/2014 10:04,3,773.9007,8.339413,-36.12621,H3
10:04:40,21/04/2014 10:04,4,323.1439,3.482822,-35.93744,H3
10:05:00,21/04/2014 10:05,15,417.1511,4.639804,-5.107566,H3
10:05:20,21/04/2014 10:05,16,380.9308,4.242044,-3.908915,H3
10:06:20,21/04/2014 10:06,3,773.1298,8.329557,-36.30542,H3
10:06:40,21/04/2014 10:06,4,322.295,3.473859,-35.88586,H3
10:07:00,21/04/2014 10:07,15,417.2166,4.640778,-5.054794,H3
10:07:20,21/04/2014 10:07,16,381.1607,4.244523,-3.928408,H3
10:08:20,21/04/2014 10:08,3,773.2977,8.332334,-36.19345,H3
10:08:40,21/04/2014 10:08,4,322.5367,3.476459,-35.88723,H3
10:09:00,21/04/2014 10:09,15,417.2519,4.641215,-5.045406,H3
10:09:20,21/04/2014 10:09,16,381.2787,4.245857,-3.923433,H3
10:38:20,21/04/2014 10:38,3,773.4227,8.33287,-36.28732,H3
10:38:40,21/04/2014 10:38,4,322.4844,3.475853,-35.89874,H3
10:39:00,21/04/2014 10:39,15,417.9949,4.650027,-4.92807,H3
10:39:20,21/04/2014 10:39,16,396.7705,4.417878,-4.03457,H3
10:40:20,21/04/2014 10:40,3,773.2241,8.330722,-36.28809,H3
10:40:40,21/04/2014 10:40,4,322.406,3.47516,-35.85657,H3
10:41:00,21/04/2014 10:41,15,417.9728,4.649727,-4.939944,H3
10:41:20,21/04/2014 10:41,16,396.7867,4.417739,-4.106423,H3
10:42:20,21/04/2014 10:42,3,773.2782,8.332002,-36.20759,H3
10:42:40,21/04/2014 10:42,4,322.5533,3.476501,-35.92511,H3
10:43:00,21/04/2014 10:43,15,417.3177,4.642228,-4.985179,H3
10:43:20,21/04/2014 10:43,16,395.9702,4.408138,-4.221687,H3
10:44:20,21/04/2014 10:44,3,773.479,8.33462,-36.1549,H3
10:44:40,21/04/2014 10:44,4,322.5799,3.477248,-35.79758,H3
10:45:00,21/04/2014 10:45,15,417.2299,4.641526,-4.926327,H3
10:45:20,21/04/2014 10:45,16,396.0344,4.409496,-4.076427,H3
10:46:20,21/04/2014 10:46,3,773.3276,8.332432,-36.21952,H3
10:46:40,21/04/2014 10:46,4,322.6193,3.477025,-35.9772,H3
10:47:00,21/04/2014 10:47,15,417.2214,4.640632,-5.097547,H3
10:47:20,21/04/2014 10:47,16,396.0697,4.409657,-4.128901,H3
10:48:20,21/04/2014 10:48,3,773.4727,8.332961,-36.33887,H3
10:48:40,21/04/2014 10:48,4,322.6373,3.476878,-36.07147,H3
