"leaf","temp","paste0.sprintf...2.1f...round.leaf_means...1...1..........sprintf...2.1f...","paste0.sprintf...1.2f...round.leaf_means...2...3..........sprintf...1.2f...","paste0.sprintf...2.1f...round.leaf_means...3...3..........sprintf...2.1f...","paste0.sprintf...3.1f...round.leaf_means...4...1..........sprintf...2.1f...","paste0.sprintf...1.2f...round.leaf_means...5...2..........sprintf...1.2f...","paste0.sprintf...2.2f...round.leaf_means...6...2..........sprintf...1.2f...","paste0.sprintf...3.2f...round.leaf_means...7...1..........sprintf...1.2f..."
"Sun","Ambient","114.1 (4.5)","2.63 (0.08)","96.0 (6.7)","141.6 (7.5)","1.69 (0.18)","-0.32 (0.03)","-1.60 (0.10)"
"Sun","Elevated","109.9 (4.8)","2.60 (0.09)","95.5 (6.6)","148.3 (11.8)","1.79 (0.15)","-0.32 (0.02)","-1.70 (0.09)"
"Shade","Ambient","118.3 (4.4)","2.13 (0.07)","73.3 (6.4)","102.1 (6.9)","1.70 (0.13)","-0.27 (0.02)","-1.50 (0.09)"
"Shade","Elevated","113.1 (4.3)","1.88 (0.06)","77.6 (4.9)","106.2 (6.5)","1.78 (0.14)","-0.30 (0.02)","-1.60 (0.11)"
