TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor,
13:40:00,09/12/2013 13:40:00,3,773.2576,8.332722,-36.0987,H4,
13:40:20,09/12/2013 13:40:20,4,322.4229,3.475221,-35.89035,H4,
13:40:40,09/12/2013 13:40:40,17,404.5152,4.500644,-4.801554,H4,
13:41:00,09/12/2013 13:41:00,18,386.6367,4.304419,-4.179025,H4,
13:41:20,09/12/2013 13:41:20,3,773.0486,8.330443,-36.1017,H4,
13:41:40,09/12/2013 13:41:40,4,322.384,3.475501,-35.69604,H4,
13:42:00,09/12/2013 13:42:00,17,404.3855,4.49942,-4.753002,H4,
13:42:20,09/12/2013 13:42:20,18,385.8985,4.296783,-4.04384,H4,
13:42:40,09/12/2013 13:42:40,3,773.197,8.332131,-36.09144,H4,
13:43:00,09/12/2013 13:43:00,4,322.5326,3.476397,-35.89227,H4,
13:43:20,09/12/2013 13:43:20,17,404.3431,4.498726,-4.802229,H4,
13:43:40,09/12/2013 13:43:40,18,385.6091,4.294001,-3.941667,H4,
13:44:00,09/12/2013 13:44:00,3,773.4171,8.333247,-36.23664,H4,
13:44:20,09/12/2013 13:44:20,4,322.5508,3.476878,-35.81281,H4,
13:44:40,09/12/2013 13:44:40,17,403.5148,4.489511,-4.802091,H4,
13:45:00,09/12/2013 13:45:00,18,384.9601,4.286189,-4.077561,H4,
13:45:20,09/12/2013 13:45:20,3,773.1827,8.331919,-36.09824,H4,
13:45:40,09/12/2013 13:45:40,4,322.5287,3.47641,-35.87704,H4,
13:46:00,09/12/2013 13:46:00,17,403.5936,4.490366,-4.807066,H4,
13:46:20,09/12/2013 13:46:20,18,384.7567,4.284022,-4.054792,H4,
13:46:40,09/12/2013 13:46:40,3,773.2986,8.332819,-36.1385,H4,
13:47:00,09/12/2013 13:47:00,4,322.5733,3.47697,-35.85466,H4,
13:47:20,09/12/2013 13:47:20,17,403.4688,4.488913,-4.8211,H4,
13:47:40,09/12/2013 13:47:40,18,384.5192,4.281652,-3.991034,H4,
13:48:00,09/12/2013 13:48:00,3,773.3869,8.334506,-36.05337,H4,
13:48:20,09/12/2013 13:48:20,4,322.6917,3.478262,-35.85031,H4,
13:48:40,09/12/2013 13:48:40,17,403.0619,4.484227,-4.856419,H4,
13:49:00,09/12/2013 13:49:00,18,383.8219,4.273849,-4.0001,H4,
13:49:20,09/12/2013 13:49:20,3,773.4832,8.333574,-36.28114,H4,
13:49:40,09/12/2013 13:49:40,4,322.5668,3.476761,-35.89325,H4,
13:50:00,09/12/2013 13:50:00,17,403.6277,4.490539,-4.852727,H4,
13:50:20,09/12/2013 13:50:20,18,384.5305,4.281599,-4.032832,H4,
14:04:00,09/12/2013 14:04:00,3,773.4618,8.333882,-36.21896,H4,
14:04:20,09/12/2013 14:04:20,4,322.6093,3.47731,-35.86809,H4,
14:04:40,09/12/2013 14:04:40,17,401.3872,4.466185,-4.724959,H4,
14:05:00,09/12/2013 14:05:00,18,365.5977,4.072695,-3.566308,H4,
14:05:20,09/12/2013 14:05:20,3,773.4828,8.333909,-36.24197,H4,
14:05:40,09/12/2013 14:05:40,4,322.6317,3.477139,-35.9826,H4,
14:06:00,09/12/2013 14:06:00,17,401.5692,4.467629,-4.854395,H4,
14:06:20,09/12/2013 14:06:20,18,365.6371,4.073308,-3.523642,H4,
14:06:40,09/12/2013 14:06:40,3,773.3002,8.332492,-36.17833,H4,
14:07:00,09/12/2013 14:07:00,4,322.5899,3.476779,-35.95735,H4,
14:07:20,09/12/2013 14:07:20,17,401.7608,4.469616,-4.886549,H4,
14:07:40,09/12/2013 14:07:40,18,365.5486,4.072023,-3.59722,H4,
14:08:00,09/12/2013 14:08:00,3,773.566,8.332442,-36.51517,H4,
14:08:20,09/12/2013 14:08:20,4,322.6381,3.477123,-36.00623,H4,
14:08:40,09/12/2013 14:08:40,17,401.5989,4.468306,-4.777272,H4,
14:09:00,09/12/2013 14:09:00,18,365.1638,4.068238,-3.474157,H4,
14:09:20,09/12/2013 14:09:20,3,773.3287,8.334392,-35.99419,H4,
14:09:40,09/12/2013 14:09:40,4,322.6527,3.477919,-35.82896,H4,
14:10:00,09/12/2013 14:10:00,17,401.5995,4.46805,-4.83554,H4,
14:10:20,09/12/2013 14:10:20,18,365.0017,4.066472,-3.46463,H4,
14:10:40,09/12/2013 14:10:40,3,773.4885,8.334208,-36.21447,H4,
14:11:00,09/12/2013 14:11:00,4,322.6212,3.477278,-35.91266,H4,
14:11:20,09/12/2013 14:11:20,17,401.8751,4.471836,-4.675694,H4,
14:11:40,09/12/2013 14:11:40,18,365.3275,4.070038,-3.480186,H4,
14:12:00,09/12/2013 14:12:00,3,773.2686,8.332329,-36.15782,H4,
14:12:20,09/12/2013 14:12:20,4,322.5942,3.477111,-35.87819,H4,
14:12:40,09/12/2013 14:12:40,17,401.9924,4.472338,-4.85441,H4,
14:13:00,09/12/2013 14:13:00,18,365.4193,4.070727,-3.56177,H4,
14:13:20,09/12/2013 14:13:20,3,773.3401,8.332806,-36.1918,H4,
14:13:40,09/12/2013 14:13:40,4,322.6147,3.477371,-35.86761,H4,
14:14:00,09/12/2013 14:14:00,17,401.8668,4.471148,-4.808157,H4,
14:14:20,09/12/2013 14:14:20,18,365.1045,4.067341,-3.53221,H4,
14:49:20,09/12/2013 14:49:20,3,773.3645,8.332884,-36.21321,H4,
14:49:40,09/12/2013 14:49:40,4,322.5689,3.477091,-35.80807,H4,
14:50:00,09/12/2013 14:50:00,17,402.9857,4.483747,-4.774879,H4,
14:50:20,09/12/2013 14:50:20,18,384.7292,4.28213,-4.423636,H4,
14:50:40,09/12/2013 14:50:40,3,773.3358,8.332741,-36.19382,H4,
14:51:00,09/12/2013 14:51:00,4,322.6117,3.477178,-35.91169,H4,
14:51:20,09/12/2013 14:51:20,17,403.034,4.484387,-4.752022,H4,
14:51:40,09/12/2013 14:51:40,18,384.5959,4.280586,-4.437487,H4,
14:52:00,09/12/2013 14:52:00,3,773.5161,8.333531,-36.32706,H4,
14:52:20,09/12/2013 14:52:20,4,322.8628,3.479423,-36.0396,H4,
14:52:40,09/12/2013 14:52:40,17,403.3166,4.487324,-4.798028,H4,
14:53:00,09/12/2013 14:53:00,18,384.5866,4.280417,-4.452952,H4,
14:53:20,09/12/2013 14:53:20,3,773.8477,8.337744,-36.25322,H4,
14:53:40,09/12/2013 14:53:40,4,322.8452,3.479905,-35.85368,H4,
14:54:00,09/12/2013 14:54:00,17,402.1777,4.475178,-4.681099,H4,
14:54:20,09/12/2013 14:54:20,18,383.184,4.265382,-4.31825,H4,
14:54:40,09/12/2013 14:54:40,3,773.5017,8.334387,-36.21028,H4,
14:55:00,09/12/2013 14:55:00,4,322.714,3.478754,-35.7807,H4,
14:55:20,09/12/2013 14:55:20,17,402.1701,4.474566,-4.798535,H4,
14:55:40,09/12/2013 14:55:40,18,382.8744,4.261422,-4.438625,H4,
14:56:00,09/12/2013 14:56:00,3,773.2681,8.331606,-36.24089,H4,
14:56:20,09/12/2013 14:56:20,4,322.4537,3.475378,-35.93893,H4,
14:56:40,09/12/2013 14:56:40,17,401.9194,4.472116,-4.722857,H4,
14:57:00,09/12/2013 14:57:00,18,382.9545,4.262196,-4.466183,H4,
