TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
11:13:20,10/12/2013 11:13,3,773.3954,8.333611,-36.16761,H4
11:13:40,10/12/2013 11:13,4,322.6047,3.477465,-35.81145,H4
11:14:00,10/12/2013 11:14,13,401.4529,4.467306,-4.63811,H4
11:14:20,10/12/2013 11:14,14,358.1856,3.991477,-3.229175,H4
11:14:40,10/12/2013 11:14,3,773.4178,8.333447,-36.21424,H4
11:15:00,10/12/2013 11:15,4,322.6315,3.477525,-35.87479,H4
11:15:20,10/12/2013 11:15,13,401.5821,4.468948,-4.592686,H4
11:15:40,10/12/2013 11:15,14,358.0748,3.990041,-3.27923,H4
11:16:00,10/12/2013 11:16,3,773.4305,8.333727,-36.19766,H4
11:16:20,10/12/2013 11:16,4,322.6414,3.47742,-35.93354,H4
11:16:40,10/12/2013 11:16,13,401.7089,4.469949,-4.683865,H4
11:17:00,10/12/2013 11:17,14,358.0422,3.989994,-3.200344,H4
11:17:20,10/12/2013 11:17,3,773.6274,8.335279,-36.26343,H4
11:17:40,10/12/2013 11:17,4,322.5718,3.476674,-35.93221,H4
11:18:00,10/12/2013 11:18,13,401.69,4.469593,-4.716433,H4
11:18:20,10/12/2013 11:18,14,357.908,3.988503,-3.198977,H4
11:18:40,10/12/2013 11:18,3,773.2131,8.331097,-36.23108,H4
11:19:00,10/12/2013 11:19,4,322.64,3.477424,-35.92825,H4
11:19:20,10/12/2013 11:19,13,401.7203,4.470304,-4.633087,H4
11:19:40,10/12/2013 11:19,14,357.7995,3.987224,-3.216727,H4
11:20:00,10/12/2013 11:20,3,773.3906,8.333303,-36.1969,H4
11:20:20,10/12/2013 11:20,4,322.6052,3.477519,-35.7979,H4
11:20:40,10/12/2013 11:20,13,401.7711,4.470505,-4.714415,H4
11:21:00,10/12/2013 11:21,14,357.7635,3.986768,-3.230497,H4
11:21:20,10/12/2013 11:21,3,773.4108,8.334098,-36.13032,H4
11:21:40,10/12/2013 11:21,4,322.599,3.477108,-35.89316,H4
11:22:00,10/12/2013 11:22,13,401.7754,4.470866,-4.644462,H4
11:22:20,10/12/2013 11:22,14,357.7648,3.986486,-3.304409,H4
11:22:40,10/12/2013 11:22,3,773.2498,8.331,-36.2878,H4
11:23:00,10/12/2013 11:23,4,322.6312,3.47724,-35.9529,H4
11:23:20,10/12/2013 11:23,13,401.0979,4.463533,-4.598519,H4
11:23:40,10/12/2013 11:23,14,357.072,3.979726,-3.064057,H4
