TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor,
13:16:00,09/12/2013 13:16:00,3,773.17,8.331242,-36.16068,H4,
13:16:20,09/12/2013 13:16:20,4,322.5828,3.476569,-35.99439,H4,
13:16:40,09/12/2013 13:16:40,17,406.2391,4.520022,-4.757872,H4,
13:17:00,09/12/2013 13:17:00,18,381.6518,4.24867,-4.237915,H4,
13:17:20,09/12/2013 13:17:20,3,773.5217,8.334216,-36.25494,H4,
13:17:40,09/12/2013 13:17:40,4,322.6397,3.477804,-35.82202,H4,
13:18:00,09/12/2013 13:18:00,17,406.1425,4.519063,-4.732499,H4,
13:18:20,09/12/2013 13:18:20,18,381.4832,4.247051,-4.177492,H4,
13:18:40,09/12/2013 13:18:40,3,773.4804,8.333984,-36.23028,H4,
13:19:00,09/12/2013 13:19:00,4,322.683,3.477854,-35.93748,H4,
13:19:20,09/12/2013 13:19:20,17,406.17,4.51929,-4.749785,H4,
13:19:40,09/12/2013 13:19:40,18,381.5089,4.247711,-4.089658,H4,
