chamber,leaf,par_type,temp,gmes,photo,cond,ci,E,vpd,leaf_temp,par,xsi,Delta,cica,pairings
12,shade,low,elevated,0.213742909,10.83328115,0.10559986,199.3051753,1.936011482,1.873973771,25.37502098,349.7693787,17.83000689,11.60804461,0.528101144,a
12,shade,low,elevated,0.20236329,11.00498539,0.107572045,199.7136861,1.895540254,1.803074697,24.98051453,349.8766174,17.38659935,11.42581007,0.529599967,a
12,shade,low,elevated,0.202382921,10.97823367,0.10809184,200.976866,1.897771586,1.796901989,24.96202087,349.8009949,17.49535613,11.50880041,0.532869065,a
12,shade,low,elevated,0.261065613,10.93067913,0.11057334,205.2569033,1.943164117,1.799803146,25.01620293,349.2850952,17.52350212,12.58705762,0.544219733,a
12,shade,low,elevated,0.192823181,11.11726102,0.112483466,204.9715672,1.983484912,1.806903899,25.0998764,349.0959778,17.35027836,11.52209248,0.543752518,a
12,shade,high,elevated,0.290515853,15.98478776,0.157478314,187.6217451,2.735995462,1.805256489,25.69413757,1150.707397,11.65638063,10.98804216,0.512911608,a
12,shade,high,elevated,0.227046857,16.25535444,0.159858251,187.1241868,2.686400586,1.748419703,25.27228928,1151.45813,11.52643472,9.813013296,0.512037495,a
12,shade,high,elevated,0.207965624,16.27100953,0.161900241,189.222921,2.606440318,1.677153041,24.81041336,1148.934937,11.47376225,9.499094453,0.517903021,a
12,shade,high,elevated,0.240889551,16.17016054,0.164290987,192.4851137,2.647444427,1.679871764,24.86398506,1148.918579,11.45912612,10.49628481,0.526907867,a
12,shade,high,elevated,0.24897497,16.51691138,0.167976556,192.1099938,2.705369409,1.681010016,24.85583115,1149.331177,11.38192875,10.54359409,0.526408942,a
12,sun,high,elevated,0.475938012,15.4375662,0.126516052,155.3924829,2.517914185,2.044724624,26.73992348,1150.030884,12.19972033,10.45729106,0.423756745,a
12,sun,high,elevated,0.404420383,15.57798208,0.128680538,156.5985862,2.585314093,2.065202326,26.90095329,1148.797363,12.06895927,10.10069234,0.427231361,a
12,sun,high,elevated,0.319203547,15.62909361,0.131307046,159.4202579,2.666469918,2.088461926,27.09925652,1149.839722,12.02456541,9.534761861,0.435239764,a
12,sun,high,elevated,0.365504059,15.65840778,0.133058476,161.3324231,2.706751939,2.093009321,27.18077469,1150.556519,11.9350445,10.08692025,0.440675143,a
12,sun,high,elevated,0.366351268,15.66094465,0.132870274,161.0419472,2.704247106,2.093701289,27.19420433,1150.238159,11.95195094,10.07399017,0.439873209,a
9,shade,low,ambient,0.115111308,10.98053358,0.120748318,218.9987913,1.818671651,1.553537247,22.26246262,326.0188904,17.89740176,10.00951188,0.580526985,a
9,shade,low,ambient,0.237072896,11.03602945,0.120858381,218.5078298,1.782586757,1.521813992,22.01136971,325.56427,17.81223836,13.31118806,0.579259975,a
9,shade,low,ambient,0.158647792,11.06158512,0.122066839,219.8762399,1.774012106,1.500268797,21.8766346,325.4288025,17.76381256,11.82737894,0.58260386,a
9,shade,low,ambient,0.128983741,11.0606179,0.124607071,222.7034663,1.786426937,1.481409762,21.78171539,325.6195068,17.70475536,10.91978486,0.59041171,a
9,shade,low,ambient,0.140136366,11.12986244,0.125595583,222.8821593,1.819503603,1.497221538,21.92622948,325.4943237,17.65894497,11.35409365,0.590797304,a
9,shade,high,ambient,0.274325269,17.21968742,0.188017503,201.1705133,2.881194866,1.612808036,23.78240013,1325.032959,11.01927098,11.50321192,0.553690435,a
9,shade,high,ambient,0.209703666,17.42819602,0.19291344,202.9243423,2.891526303,1.580536398,23.59614944,1325.121582,10.90774061,10.16475599,0.558927329,a
9,shade,high,ambient,0.187521115,17.58051169,0.198280176,205.2904547,2.9413633,1.566745543,23.58348656,1324.06958,10.82318555,9.554211077,0.565881736,a
9,shade,high,ambient,0.206844357,17.7173264,0.203469257,207.4393647,2.989601985,1.554425613,23.56745338,1323.824097,10.71358019,10.28853732,0.572377108,a
9,shade,high,ambient,0.225205357,17.82371479,0.208552169,209.8156272,3.016602589,1.533023226,23.47071075,1323.828613,10.56338483,10.92587949,0.57929488,a
9,sun,high,ambient,0.210786061,15.38065977,0.130422291,164.97112,2.162077152,1.712280854,23.76107216,1324.649292,12.50448943,8.345120587,0.447767518,a
9,sun,high,ambient,0.18416309,15.7009066,0.136408667,168.543178,2.228423223,1.690807083,23.71919632,1323.790161,12.18643989,7.714093579,0.458527186,a
9,sun,high,ambient,0.173498466,16.07568132,0.141715214,170.3272865,2.264755934,1.657199273,23.56917572,1324.258545,11.88798115,7.318028258,0.464435779,a
9,sun,high,ambient,0.214041236,16.3084229,0.147040117,173.86838,2.290106529,1.61841481,23.36658287,1324.095337,11.60873062,8.738745693,0.474763019,a
9,sun,high,ambient,0.194189284,16.59516857,0.152336921,176.4164137,2.342811547,1.600612614,23.31951904,1324.814697,11.40707857,8.249944842,0.48241064,a
7,shade,low,ambient,0.197652278,8.817281567,0.120744044,250.5390041,2.077499609,1.771307004,23.93128395,350.2928162,22.04513801,14.89592778,0.658211712,b
7,shade,low,ambient,0.135201236,8.848119508,0.121173107,250.8043845,2.0699011,1.759167445,23.79921722,350.4015503,22.16144147,13.56189233,0.658533521,b
7,shade,low,ambient,0.160859701,8.733820495,0.121088404,252.2224082,2.122870278,1.8050544,24.06755829,349.4011536,22.96416925,14.33118591,0.661921543,b
7,shade,high,ambient,0.267224323,13.18128958,0.169933184,232.352936,2.925029228,1.79943297,24.6304493,1400.032471,14.36927861,14.05695255,0.625341603,b
7,shade,high,ambient,0.186997035,13.33945497,0.173201817,233.1224958,2.92228248,1.766038191,24.44463539,1399.522339,14.34611462,12.60298648,0.627737105,b
7,shade,high,ambient,0.288110266,13.3691651,0.17552505,234.6217704,2.905365082,1.734170068,24.25906181,1398.960327,14.33495508,14.43964182,0.631744508,b
7,shade,high,ambient,0.184679649,13.36779056,0.177489412,236.2406165,2.876482935,1.699439991,24.04685974,1398.938721,14.44059676,12.74651618,0.635917295,b
7,shade,high,ambient,0.200173477,13.34769488,0.179135741,237.6410342,2.84539897,1.6669469,23.83860588,1399.297974,14.33180594,13.24257431,0.639754763,b
7,sun,high,ambient,0.282490366,13.18403059,0.102651934,151.0109906,2.032919391,2.024610486,25.1015873,1400.934937,14.25819157,9.17549555,0.406600872,b
7,sun,high,ambient,0.481910313,13.12473634,0.101604673,150.0135529,1.990257585,2.002515608,24.93778419,1400.264038,14.39222811,10.4687487,0.403863676,b
7,sun,high,ambient,0.201203101,13.00792182,0.101880205,152.6468673,1.975963054,1.983424228,24.81676483,1399.563354,14.27933635,8.038585277,0.410792149,b
7,sun,high,ambient,0.192305934,13.23954631,0.102305142,149.5905614,1.999588501,1.998885733,24.92017746,1398.562378,14.27605829,7.557545573,0.402736686,b
7,sun,high,ambient,0.451880742,13.32817607,0.104413843,152.1156917,2.049250285,2.00799564,25.02011871,1399.244873,14.02845304,10.44752737,0.409731019,b
6,shade,low,elevated,0.164077725,11.44461951,0.126613977,214.3866993,2.696225105,2.188729163,27.27987862,400.2354736,16.36806409,11.19593882,0.571767242,b
6,shade,low,elevated,0.300515358,11.65187401,0.125818491,211.0537541,2.633637404,2.151809146,27.03926277,400.1634521,16.35004367,13.10781959,0.562757436,b
