"id","chamber","leaf","light","temp","leaflight","Photo","Cond","Ci","Cc","gm","VpdL","xsi","DELTA","cc_ci","ci_bar","Cc_bar"
"1-ch01-shade","ch01","shade","low","ambient","shade-low",12.069830635,0.14640410175,230.721726875,140.173976961512,0.13385131042356,1.2549842035,15.7886754996568,13.1472218039257,1.64857405573931,285.511172560677,195.337751046863
"1-ch02-shade","ch02","shade","low","elevated","shade-low",9.811307733,0.08119210925,176.41957695,127.649620312528,0.205922879650263,1.11013718,19.8731952108957,12.5732233471884,1.38419233938299,322.735775335618,275.090230801356
"1-ch03-shade","ch03","shade","low","ambient","shade-low",10.1026217475,0.09353334875,195.92301825,121.034281580311,0.138726829181777,1.222669062,19.9400504126075,12.1095102328221,1.64379956157449,275.533019567986,202.709169941449
"1-ch04-shade","ch04","shade","low","elevated","shade-low",9.29533107775,0.08849201,200.587439125,108.823613207169,0.103223544071259,1.5514544745,21.0506644339573,11.4579736879584,1.86416392947806,262.199771485785,172.149278050556
"1-ch06-shade","ch06","shade","low","elevated","shade-low",11.6671630075,0.1261551375,211.42044125,124.67322182322,0.137232038647632,2.12118660575,16.3459880860024,12.2700640630908,1.71227880725943,278.400031821247,193.382253739136
"1-ch07-shade","ch07","shade","low","ambient","shade-low",8.821363372,0.120822012,250.710827225,166.913520137007,0.112362497345924,1.7715476465,22.0328196696563,15.5786410853488,1.52832473289522,307.45233685685,228.944261828558
"1-ch08-shade","ch08","shade","low","elevated","shade-low",9.49494029075,0.077243941,175.0138652,107.16314804943,0.14621036753336,1.0007516585,21.0764382532182,11.2067857679038,1.66417059802877,292.278786537238,227.338519640066
"1-ch09-shade","ch09","shade","low","ambient","shade-low",11.0547125925,0.1230348405,220.947750575,117.28251372883,0.109549305512743,1.49622557825,17.809305030845,11.7360383147808,1.92570702318213,271.03127266282,170.120431277212
"1-ch10-shade","ch10","shade","low","elevated","shade-low",8.88552267225,0.0746971765,177.469759325,112.706230326274,0.175165232150517,2.04534941925,22.6215258845114,11.799545859002,1.67436620835129,279.250314693638,228.523794577963
"1-ch11-shade","ch11","shade","low","ambient","shade-low",9.691445092,0.1468512895,261.436206725,176.580369425808,0.142561954811144,1.5339955175,20.1406473156766,16.0098834186729,1.55697181325892,285.112587088528,217.132002052089
"1-ch12-shade","ch12","shade","low","elevated","shade-low",11.0077898025,0.10968017275,202.72975565,116.895812619205,0.128987272391945,1.80167093275,17.558854959225,11.7745064535225,1.73943868777304,299.367061922758,214.026938061146
"2-ch01-shade","ch01","shade","low","ambient","shade-low",11.9399855166667,0.123722802,210.307980066667,131.218061540732,0.158265932856917,1.01673302933333,16.4358301659448,12.5507503414319,1.63915355840108,280.818214575442,205.375664804095
"2-ch02-shade","ch02","shade","low","elevated","shade-low",9.29070731475,0.16499755225,277.490655,184.399677580683,0.100394078349693,1.524392002,20.8670561120594,16.6355634526363,1.50707247142364,325.275958968252,232.733575319004
"2-ch03-shade","ch03","shade","low","ambient","shade-low",9.77161241775,0.22459456525,298.822331525,213.693219877947,0.118685750999361,1.08644821675,19.9933012832642,18.4406967497078,1.40470141359551,297.721610627877,215.38980301432
"2-ch04-shade","ch04","shade","low","elevated","shade-low",8.27825518925,0.140223856,267.46077425,157.2109486257,0.0779914264508971,2.82002029375,24.3306012187002,15.2728416586607,1.73059549934157,270.265394241716,164.122250489089
"2-ch05-shade","ch05","shade","low","ambient","shade-low",8.859533605,0.08655457225,200.027536875,118.445202230979,0.109051725411408,2.72180775475,22.444163724614,12.325862333373,1.69060765284826,307.984518597721,226.742946567782
"2-ch06-shade","ch06","shade","low","elevated","shade-low",9.49787581325,0.094389109,201.38998755,114.023779629654,0.108929796388331,2.66828245175,22.3813238689564,11.9096397100203,1.76890087252858,290.567473778735,203.374840283025
"2-ch08-shade","ch08","shade","low","elevated","shade-low",8.78160631733333,0.210477397,297.012434166667,149.269059983318,0.0595920537273488,2.218231202,22.0933003593003,14.5155145016043,1.99371454624242,291.542334691544,144.180299519677
"2-ch10-shade","ch10","shade","low","elevated","shade-low",10.3679553375,0.21139779175,285.868871675,174.682494219853,0.0966015606815385,1.36393856425,18.6159183405265,15.7643407732807,1.66143958561514,302.60757800118,195.280581787532
"2-ch11-shade","ch11","shade","low","ambient","shade-low",10.42372913,0.2092724375,282.2638739,185.826118715761,0.11155174113829,1.81117188275,20.51587757632,16.5787153243845,1.53068103673079,317.350328231058,223.907330178004
"2-ch12-shade","ch12","shade","low","elevated","shade-low",8.836509756,0.315579496,321.95076245,173.39955492234,0.0598134584261209,1.368382575,22.2537508701792,16.0733574061909,1.86372470698223,292.243310883728,144.508837932051
"3-ch01-shade","ch01","shade","low","ambient","shade-low",12.3877454225,0.2119039015,287.5728606,201.335607697208,0.162296478518854,1.1081608595,16.5488319583692,16.5215587091688,1.45878009104503,317.299785484951,240.971909886215
"3-ch02-shade","ch02","shade","low","elevated","shade-low",10.6930710775,0.2430205905,310.730942675,232.527178284712,0.137809757233874,1.59375986075,19.6558447385523,18.8921287383226,1.33765846911202,315.57466083753,237.981671109285
"3-ch03-shade","ch03","shade","low","ambient","shade-low",11.3315310975,0.194880551,288.657077325,192.353281610996,0.120332137366802,1.516928284,18.1254175173207,16.1294270204479,1.50889290671161,278.746826322789,184.578041944276
"3-ch04-shade","ch04","shade","low","elevated","shade-low",9.40075917533333,0.115655210666667,256.152761766667,155.444747210045,0.0956147159960183,1.67147475766667,22.0771765023755,14.1071597927038,1.66857598054643,303.429842939323,205.110676507612
"3-ch05-shade","ch05","shade","low","ambient","shade-low",11.1362201233333,0.165193784666667,278.8064102,211.940528751571,0.17207831456717,0.902352671666667,18.2623591065865,17.3220752637361,1.32034934390277,305.643008627819,240.927009105483
"3-ch06-shade","ch06","shade","low","elevated","shade-low",10.3095482925,0.15233585925,273.9082554,181.92972074265,0.112403900754693,1.756476059,19.9962801579328,15.7018362468084,1.50709112746261,285.152875522219,193.43409865344
"3-ch07-shade","ch07","shade","low","ambient","shade-low",10.345720875,0.193063836,300.4008261,196.272218872778,0.101436130828115,1.19705218575,20.2714487993608,16.4854519618487,1.53894890989942,282.329299044084,180.336835505318
"3-ch08-shade","ch08","shade","low","elevated","shade-low",11.11797191,0.17201307375,279.7976114,178.952832427861,0.115395865260744,1.41241634125,18.0038639418775,15.2767068779364,1.58320623257102,293.824331809426,197.477968923041
"3-ch09-shade","ch09","shade","low","ambient","shade-low",11.576315885,0.11331282475,217.668242325,103.703497270291,0.106716842533869,1.6872488835,18.8138447132355,10.3840314095423,2.24301543975929,290.585887192979,182.10895318581
"3-ch10-shade","ch10","shade","low","elevated","shade-low",11.4033377475,0.17462116975,279.10828465,189.114844405165,0.143879262184762,1.154304572,18.0279240676172,15.871495562241,1.5042133241455,282.804226287003,203.547927816022
"3-ch11-shade","ch11","shade","low","ambient","shade-low",9.6137466775,0.086178761,203.26495905,88.4676665177094,0.0883296044525294,2.52603464625,21.6212153064812,9.77592841134548,2.57901184642967,289.229068689772,180.389606121289
"3-ch12-shade","ch12","shade","low","elevated","shade-low",10.6003781225,0.156681098,274.039482125,160.393090102448,0.094730429143366,1.719978217,19.2806832289548,14.215013823217,1.72218640487414,309.051315780778,197.150860791207
"4-ch01-shade","ch01","shade","low","ambient","shade-low",10.2901918477778,0.0909450674444444,207.411513922222,100.513048194802,0.0965719482101927,0.855770481777778,20.154341906651,10.2821611142428,2.06452136293782,289.864068104212,183.309400434251
"4-ch02-shade","ch02","shade","low","elevated","shade-low",11.01969826,0.208826733916667,294.7926456,209.179961906398,0.133972614053706,1.88446929208333,18.2882008409078,17.3651214210645,1.41860293197638,347.159354968017,264.905990443962
"4-ch03-shade","ch03","shade","low","ambient","shade-low",11.3242118188889,0.143059406,259.696758833333,186.889866882579,0.158144783059254,0.914312930555555,18.2760003993996,15.6911833123668,1.39311084672168,307.034217907097,235.42760781332
"4-ch04-shade","ch04","shade","low","elevated","shade-low",9.27269371588889,0.100545503111111,236.009005711111,133.171754715453,0.0920607430361427,1.56221597411111,19.0583629406363,12.620861464791,1.79254033465966,345.049217355357,244.32557109662
"4-ch05-shade","ch05","shade","low","ambient","shade-low",10.8538244266667,0.230819666166667,307.9627624,185.196285936803,0.0901552409813776,1.33907289808333,18.8433141816315,15.7015713394227,1.67566660891833,298.393791998308,178.00340416818
"4-ch06-shade","ch06","shade","low","elevated","shade-low",10.166107932,0.079701282,183.891496533333,113.041707695207,0.144050400639816,1.24800102622222,20.424440198692,11.1375105000463,1.6305969106196,303.807539111105,233.234268319451
"4-ch07-shade","ch07","shade","low","ambient","shade-low",11.0027616822222,0.112932474,228.553952566667,147.275954408001,0.139171987369807,1.00361765877778,17.2506105927471,13.1981716892635,1.56562853075742,303.4131035343,224.354365564383
"4-ch08-shade","ch08","shade","low","elevated","shade-low",8.70556545208333,0.0928328571666667,239.251278591667,152.936801198427,0.1025055391126,0.876265054916667,19.3180488097392,13.9011698800385,1.57110897332373,288.876158452731,203.948402085141
"4-ch09-shade","ch09","shade","low","ambient","shade-low",10.4555317133334,0.148522269166667,270.181793991666,183.166628742031,0.126192796002337,1.37247942866667,18.0740689682305,15.6578463708722,1.49946383263452,293.380253812349,210.526619971478
"4-ch10-shade","ch10","shade","low","elevated","shade-low",9.55302063,0.1372590655,272.586932133333,178.508781284733,0.103143923396034,1.48763547716667,19.6584646186702,15.5504773693396,1.53588938606451,293.660393531637,201.042037399109
"4-ch11-shade","ch11","shade","low","ambient","shade-low",9.21565158133333,0.08082775175,203.190813433333,128.318715397101,0.128427063174426,1.35311409925,18.5482780520266,12.2568232554051,1.61195034102525,268.433870798782,196.676007981216
"4-ch12-shade","ch12","shade","low","elevated","shade-low",11.3276091275,0.184295433583333,286.732945933333,184.645683635068,0.111271731572271,1.05373089125,18.1288236901528,15.5370980969194,1.55475986396074,305.257870913029,203.456551139887
"5-ch02-shade","ch02","shade","low","elevated","shade-low",10.4484086815,0.196066018,295.50425844,197.949243382516,0.108627887367713,1.55151562225,17.6431318970637,16.6418031949772,1.49840569117973,324.461180481797,228.275855196667
