"Photo","Ci","chamber","lcl","ucl","pred"
9.5766731775,122.817422725,"ch06",8.28868133802526,11.5306245528438,9.93417179080168
9.61208616,123.127785325,"ch11",8.31016940299475,11.5407878694691,9.95147040317993
9.5605827688,128.15148736,"ch07",8.70334068461569,11.7114723647833,10.231475385118
9.94196705525,134.284592925,"ch11",9.17106542978619,11.9090949334318,10.5733149490467
10.4081894575,136.59758545,"ch01",9.33934644343139,11.9883252314653,10.7022337076979
11.8677244866667,140.522961233333,"ch07",9.63963559815462,12.1332977703123,10.9210215194859
11.720363375,141.581312675,"ch08",9.72442726798377,12.1580774142247,10.9800106223911
12.7591023125,144.402386425,"ch03",9.9525430676556,12.2494656490485,11.1372481931928
10.2561756725,145.463344975,"ch10",10.0302776895291,12.2916705167408,11.1963826079252
13.139058765,150.81549305,"ch07",10.4374686387851,12.5415397380025,11.4946941149831
11.72534643,151.521904425,"ch04",10.4934063134234,12.5736683161992,11.534067211341
9.540717944,154.3574178,"ch11",10.7100276605343,12.7140054970339,11.6921096003642
10.1867002595,155.075704916667,"ch11",10.7703215860428,12.7436694007592,11.7321446123389
15.6108663875,158.48746335,"ch12",11.0044669130539,12.8829877975746,11.9223050461877
9.93854939875,164.024381925,"ch02",11.3743156220465,13.1031899608178,12.2309150662057
13.771565037,164.569394295,"ch12",11.4110787226344,13.1194598778851,12.2612923015104
15.0187484625,170.278389225,"ch05",11.7908063140719,13.3797438202073,12.579493303704
15.946479355,170.320505625,"ch09",11.7936249122299,13.3811304467415,12.5818407362824
10.6844391175,171.0248611,"ch04",11.8335686696825,13.4042301606969,12.6210992433916
14.2326777125,172.445661175,"ch05",11.9281679130275,13.4583848425257,12.7002900665269
7.39716985375,176.12693175,"ch06",12.1556869592963,13.6488113177587,12.9054722396894
13.349875525,176.809685225,"ch05",12.2016026722237,13.6842084574679,12.9435267208476
12.2999191591667,177.486377925,"ch08",12.241067107693,13.7192913781986,12.9812433939148
12.2193193325,178.3814044,"ch12",12.2885587536124,13.7650809076509,13.0311292888625
8.78498615758333,179.2729108,"ch09",12.3384071023004,13.8261151597898,13.0808189861595
13.7250535766667,184.579396011111,"ch06",12.6434358868027,14.1408512722532,13.3765853921566
18.066884158,184.71508212,"ch10",12.6499080934568,14.1478224857974,13.3841480991412
11.3614134,184.7841514,"ch09",12.6532210291377,14.152057467778,13.3879977984992
16.720470095,185.619638175,"ch02",12.6950651379358,14.2032853282273,13.4345651422058
17.051567656,186.115506885,"ch05",12.7170849178264,14.2340175764345,13.4622032680779
12.7564291655556,187.369517122222,"ch10",12.7810720584625,14.316068174405,13.532097762492
11.9384786825,191.10927645,"ch08",12.9771639131078,14.5574879800958,13.74053991048
17.69100141,191.235668525,"ch01",12.9857349353393,14.5657060688746,13.7475845979298
10.44553237444,193.703871548,"ch05",13.1166017971615,14.7247710149199,13.8851542901726
6.37536025525,195.9072791,"ch12",13.215986956553,14.8679123276023,14.0079651351435
13.0386751833333,198.734911766667,"ch07",13.3510619075782,15.0509032259037,14.1655682788493
18.213527735,199.196726475,"ch03",13.372473866072,15.080549888651,14.1913083442761
16.135120035,199.74361205,"ch01",13.3890352367018,15.11620131811,14.2217899859983
10.531800016,201.157898826667,"ch07",13.4314591904077,15.210251793694,14.3006177788485
15.1201224333334,201.327950177778,"ch12",13.4394311208953,15.2198214788631,14.3100958938252
14.84356211,201.751855625,"ch10",13.4585415501136,15.2461934052779,14.333723019054
18.4821570775,201.917449425,"ch03",13.467299294822,15.2569633331918,14.342952684479
13.4800128725,206.573020925,"ch04",13.670979053262,15.5627969108977,14.6024392552762
16.2628882091667,206.836116025,"ch05",13.6797493558913,15.5806156710951,14.6171033293415
16.037477638,210.15810095,"ch12",13.8048580492784,15.8237853219565,14.8022600767845
12.5642538875,210.367807041666,"ch01",13.8125181921679,15.8406062732942,14.8139484193654
8.27248257576,214.345749548,"ch02",13.9731141360455,16.1156216895591,15.0356661311
17.8162543785,215.030977955,"ch02",13.9951492349245,16.1681755025603,15.073858557002
13.9607323725,219.5080911,"ch10",14.1329233762767,16.5007059587764,15.3233984334848
18.420815,220.951759258333,"ch02",14.1783090321368,16.6106497647654,15.4038638499809
12.56794463,228.83235517,"ch09",14.4631314932445,17.2091417458016,15.843102901289
18.401352236,234.264506,"ch09",14.6575175107373,17.6344308406757,16.1458735044104
16.751101745,239.09260875,"ch04",14.8435543769798,17.9981944062745,16.4149764117664
16.8948101576,245.112801708,"ch10",15.066240124146,18.4668193638237,16.7505225904061
18.2306537208334,252.020513225,"ch03",15.2837265119524,19.0181868212347,17.1355361969209
