"id","chamber","leaf","light","temp","leaflight","Photo","Cond","Ci","Cc","gm","VpdL","xsi","DELTA","cc_ci","ci_bar","Cc_bar"
"1-ch01-sun","ch01","sun","high","ambient","sun-high",10.4081894575,0.07234021925,136.59758545,69.4864916217823,0.161908751249214,1.6655243205,19.0226574153191,8.60164985025228,2.0795885021043,235.913794018547,171.629501926889
"1-ch02-sun","ch02","sun","high","elevated","sun-high",16.720470095,0.16115219425,185.619638175,135.972422885823,0.340644299561645,1.1774010145,11.1430101268676,12.6604817517099,1.36743930783598,261.165844158926,212.081006642148
"1-ch03-sun","ch03","sun","high","ambient","sun-high",12.7591023125,0.094195791,144.402386425,75.3235144039375,0.185850329892113,1.4446236435,15.1751537536098,8.79262982188175,1.92751570939228,231.911708260161,163.259140788762
"1-ch04-sun","ch04","sun","high","elevated","sun-high",11.72534643,0.08878408025,151.521904425,81.209832639927,0.172982842337227,1.70277861075,16.1174182740073,9.28496226131453,1.91787559836352,236.779140056971,168.995848537563
"1-ch05-sun","ch05","sun","high","ambient","sun-high",13.349875525,0.11615822175,176.809685225,105.775483956964,0.200614331556553,1.1420000695,14.1498587256499,10.7552554879779,1.72188198100686,242.681712276326,176.136738039345
"1-ch06-sun","ch06","sun","high","elevated","sun-high",9.5766731775,0.06350283525,122.817422725,78.5494761784833,0.227309723122253,2.70270573725,20.6856870457942,9.38925571304867,1.57208965431245,230.761203062359,188.630699158004
"1-ch07-sun","ch07","sun","high","ambient","sun-high",13.139058765,0.1021104885,150.81549305,75.4145399432952,0.183639787086031,2.00235901375,14.3014466728498,8.80458148978102,2.08558684211214,239.451367776184,167.903371704697
"1-ch08-sun","ch08","sun","high","elevated","sun-high",11.720363375,0.08456748925,141.581312675,52.6763221338888,0.132898042746515,1.4967857085,17.1191216359863,7.31319109801912,2.74716179794101,238.270170764365,150.079531287793
"1-ch09-sun","ch09","sun","high","ambient","sun-high",15.946479355,0.14039316625,170.320505625,71.7022424204417,0.16238969813601,1.66430706225,12.1264171494956,8.18119837867195,2.4015551668075,244.851902676966,146.653066555946
"1-ch10-sun","ch10","sun","high","elevated","sun-high",10.2561756725,0.07595873375,145.463344975,43.269657858699,0.101518523350107,2.47047809325,18.4248644605199,6.88057681813141,3.50750757961629,246.204846933447,145.177218338717
"1-ch11-sun","ch11","sun","high","ambient","sun-high",9.61208616,0.063167712,123.127785325,75.2693146188832,0.212125327016068,2.03957516175,21.60307014373,9.10184801053195,1.67639001534847,250.051141170808,204.737899724293
"1-ch12-sun","ch12","sun","high","elevated","sun-high",15.6108663875,0.1304316495,158.48746335,96.5084217867501,0.254557900803966,2.07796897475,12.089755854023,10.1255642112506,1.64763095969199,246.012752629372,184.687347532157
"2-ch01-sun","ch01","sun","high","ambient","sun-high",17.69100141,0.17957396175,191.235668525,106.25249797429,0.211648727667309,1.139253248,10.5718814646679,10.40900597072,1.82233623838465,267.666023817535,184.079405532692
"2-ch03-sun","ch03","sun","high","ambient","sun-high",18.4821570775,0.20669662125,201.917449425,108.952221373032,0.201821854445551,1.5781217395,10.2834597985816,10.4998697804177,1.8722421818161,275.929018280646,184.352428974822
"2-ch04-sun","ch04","sun","high","elevated","sun-high",10.6844391175,0.09225850225,171.0248611,66.652376941325,0.102418449580708,3.39303988,18.2693165924623,8.49052269582391,2.56933349927597,267.502821378872,163.181391390026
"2-ch05-sun","ch05","sun","high","ambient","sun-high",15.0187484625,0.1338874005,170.278389225,79.0932412928976,0.1654373273023,2.568691075,13.1707837953015,8.8571383347134,2.16376184446961,258.454586771673,167.672483920987
"2-ch08-sun","ch08","sun","high","elevated","sun-high",11.9384786825,0.11650318925,191.10927645,69.7128197891977,0.0994760412767519,2.8305272455,17.3404128040338,8.46304253569447,2.84732025083,272.991824647856,152.978216051531
"2-ch10-sun","ch10","sun","high","elevated","sun-high",14.84356211,0.156632503,201.751855625,110.000928335122,0.16222040826736,1.7042636145,13.2355468207752,10.8830972469325,1.83740401130266,255.844933158784,164.342499719362
"2-ch11-sun","ch11","sun","high","ambient","sun-high",9.94196705525,0.0691036625,134.284592925,46.3443615554082,0.113635117736562,2.1695344125,20.3538301328837,7.10897850100777,2.92848268894409,231.733634472911,144.24336515055
"2-ch12-sun","ch12","sun","high","elevated","sun-high",12.2193193325,0.10885243825,178.3814044,76.2075782291749,0.122166905237758,2.10697986,15.9150783937186,8.87813108686175,2.42575818318859,283.29054279558,183.269024621578
"3-ch01-sun","ch01","sun","high","ambient","sun-high",16.135120035,0.15234204975,199.74361205,99.6249462686268,0.162019250805609,1.8137197115,12.319883171125,9.69917404803594,2.01113265882092,294.450918522245,194.863246348899
"3-ch02-sun","ch02","sun","high","elevated","sun-high",9.93854939875,0.072467256,164.024381925,69.0720157369665,0.105585641299577,2.263944071,21.7459114925994,8.4019417763629,2.41407439203801,284.605667210792,190.477817283249
"3-ch03-sun","ch03","sun","high","ambient","sun-high",18.213527735,0.174976266,199.196726475,91.734807825642,0.171299226554175,1.48552070525,11.5094081635014,8.96780416783489,2.20525005798056,259.851712016588,153.525909493249
"3-ch04-sun","ch04","sun","high","elevated","sun-high",13.4800128725,0.12657435275,206.573020925,100.816444915693,0.128236397571112,1.63227990325,14.7122052737982,9.98243427262365,2.06095847939775,269.028353870538,163.909891968762
"3-ch05-sun","ch05","sun","high","ambient","sun-high",14.2326777125,0.10982095975,172.445661175,95.115792707183,0.188379700510899,0.907945753,14.2219975486698,9.57881524018137,1.84491027316206,269.812050481757,194.258911402016
"3-ch06-sun","ch06","sun","high","elevated","sun-high",7.39716985375,0.05610021725,176.12693175,56.6423144019281,0.0625429235937627,2.74982711225,24.3277184049046,8.13138976674442,3.26876567052415,272.938380231257,154.66489014312
"3-ch07-sun","ch07","sun","high","ambient","sun-high",11.8677244866667,0.0777504163333333,140.522961233333,61.4773464854172,0.152071077173234,1.15025108333333,18.5306916224997,7.63714285882258,2.37616227378604,275.886875097529,197.846233134118
"3-ch09-sun","ch09","sun","high","ambient","sun-high",11.3614134,0.0929473655,184.7841514,72.1472877142648,0.101479295242475,2.02664574725,17.9891960029966,8.3988156038825,2.60238605640511,268.536811608411,156.578866168871
"3-ch10-sun","ch10","sun","high","elevated","sun-high",13.9607323725,0.142732343,219.5080911,102.962600609352,0.120388334485189,1.5137449515,13.9813770071739,10.0218383316984,2.14436351112955,254.60805814064,138.643895730722
"3-ch11-sun","ch11","sun","high","ambient","sun-high",9.540717944,0.066621724,154.3574178,19.205061689647,0.0706897217910156,2.477678792,21.8735271096688,5.20106640795548,10.6871452116696,289.757285703018,154.791159054425
"3-ch12-sun","ch12","sun","high","elevated","sun-high",6.37536025525,0.05184955375,195.9072791,43.5725582439209,0.0431123276308782,2.13241826675,32.7757554060826,7.69567030281025,5.54413508618695,292.836665473606,144.958770551417
"4-ch01-sun","ch01","sun","high","ambient","sun-high",12.5642538875,0.118891533416667,210.367807041666,109.349358536693,0.137924031507292,1.59316887158333,16.9193267782567,10.6402565498224,2.04556795472276,309.783794004824,218.688328260439
"4-ch02-sun","ch02","sun","high","elevated","sun-high",18.420815,0.209144448833333,220.951759258333,115.44087314447,0.174927854925442,1.93723790925,10.6910700895267,10.5001949093273,1.91710867505162,289.305136793165,183.999923922114
