"Photo","ci_bar","chamber","lcl","ucl","pred"
9.5766731775,230.761203062359,"ch06",10.4676278414971,14.1617052087726,12.3611682403128
9.94196705525,231.733634472911,"ch11",10.5242158645262,14.1543996688757,12.3847270000763
12.7591023125,231.911708260161,"ch03",10.5345783882626,14.1529578992618,12.3890411321873
10.4081894575,235.913794018547,"ch01",10.7959867622978,14.0987838402859,12.4859982809505
11.72534643,236.779140056971,"ch04",10.8419309165836,14.0803169650667,12.5069627204064
11.720363375,238.270170764365,"ch08",10.9080048262144,14.0472300462075,12.5430854061345
13.139058765,239.451367776184,"ch07",11.0061019870875,14.0630103645701,12.5717018579818
13.349875525,242.681712276326,"ch05",11.1845519302033,14.0318145315696,12.6499622979537
15.946479355,244.851902676966,"ch09",11.3381248822372,14.0021907712779,12.7025387508891
15.6108663875,246.012752629372,"ch12",11.3959576481463,14.0077001499251,12.7306622615588
10.2561756725,246.204846933447,"ch10",11.4078433106439,14.0083071237504,12.7353160638862
9.61208616,250.051141170808,"ch11",11.6082134198333,13.9782953101525,12.8284989053026
8.78498615758333,253.329659683153,"ch09",11.7431360651883,13.9993866405038,12.9079264404218
13.9607323725,254.60805814064,"ch10",11.8273228719258,14.0147720454358,12.9388977581056
10.531800016,255.049888375398,"ch07",11.8487077547595,14.0163004897479,12.9496018265304
14.84356211,255.844933158784,"ch10",11.8728510548533,14.0287051836922,12.9688631017728
15.0187484625,258.454586771673,"ch05",11.9831599155461,14.0521105148908,13.0320862780966
18.213527735,259.851712016588,"ch03",12.035103470939,14.0789783921766,13.0659339486339
9.5605827688,259.924067179894,"ch07",12.0365033304397,14.0795826273844,13.0676868721732
16.720470095,261.165844158926,"ch02",12.0945721306962,14.0929445837558,13.097770973953
13.7250535766667,262.537581754153,"ch06",12.1267631429081,14.126300483116,13.1310035866739
12.2999191591667,262.885111363895,"ch08",12.137290698742,14.1354282678805,13.1394230664417
10.6844391175,267.502821378872,"ch04",12.2688256736025,14.2568149446307,13.2512947313426
17.69100141,267.666023817535,"ch01",12.27061768595,14.259447686043,13.2552485804302
11.3614134,268.536811608411,"ch09",12.3005084757875,14.2677896012323,13.2763448553423
13.4800128725,269.028353870538,"ch04",12.3265188096429,14.2822830397591,13.2882532798764
14.2326777125,269.812050481757,"ch05",12.3468464278137,14.3049790155414,13.307239626873
15.1201224333334,269.877115829594,"ch12",12.3465683487877,14.3080984530958,13.308815942572
12.7564291655556,270.322196452871,"ch10",12.3446661444598,14.3294370189711,13.3195987570362
18.2306537208334,270.895790231626,"ch03",12.3520329268596,14.3511475386818,13.333495015311
12.56794463,271.886210636082,"ch09",12.3682351836118,14.3790021945223,13.3574895882138
17.051567656,272.266527220238,"ch05",12.3695426455301,14.4010707869467,13.3667033866812
7.39716985375,272.938380231257,"ch06",12.3788129224214,14.4253608790371,13.382980137423
11.9384786825,272.991824647856,"ch08",12.3789664304309,14.4272927269249,13.3842749168364
13.771565037,273.15087266538,"ch12",12.3794232628959,14.433041813476,13.3881281181985
16.037477638,273.772583963736,"ch12",12.3869530360619,14.45551472524,13.4031901029939
13.0386751833333,274.645725007576,"ch07",12.395369872441,14.4866939696639,13.4243433893525
18.401352236,275.53454874271,"ch09",12.425340794115,14.518218594869,13.445876614854
11.8677244866667,275.886875097529,"ch07",12.4313877873116,14.5315380739971,13.4544123037071
18.4821570775,275.929018280646,"ch03",12.4321110926735,14.5330228381153,13.4554332920421
18.066884158,281.083917855863,"ch10",12.4442145424835,14.7270086353345,13.5803192627952
12.2193193325,283.29054279558,"ch12",12.4711637569899,14.8328199712155,13.633778402719
9.93854939875,284.605667210792,"ch02",12.478329364137,14.9082818973798,13.6656394674902
16.2628882091667,285.997709678855,"ch05",12.47972586094,14.9746866517889,13.6993639993491
10.1867002595,288.127367457965,"ch11",12.4581176537567,15.0456538189355,13.7509584824686
18.420815,289.305136793165,"ch02",12.422630401521,15.1185875951068,13.7794918931788
9.540717944,289.757285703018,"ch11",12.4273562557313,15.1412594675882,13.7904459485795
16.8948101576,292.270087938003,"ch10",12.4374584336644,15.3063695883446,13.8513227400374
6.37536025525,292.836665473606,"ch12",12.4333210030267,15.3424643914332,13.8650490182137
16.135120035,294.450918522245,"ch01",12.408989509277,15.4453031774145,13.9041569690242
17.8162543785,295.484421255354,"ch02",12.4180236249833,15.5096673084996,13.9291952826164
8.27248257576,295.587030800054,"ch02",12.4189375396875,15.5160536551522,13.9316811685995
16.751101745,296.709900227358,"ch04",12.4209959224352,15.5846888119546,13.9588845382116
10.44553237444,300.073125714219,"ch05",12.4253484041799,15.7678338999415,14.0403642399322
12.5642538875,309.783794004824,"ch01",12.3195111392522,16.3378575465992,14.2756212451247
