flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
2,day_2,7/12/2013,11:30:40 AM,143,8,150.5,376.1866,4.206445,19.99948,399.9991,438.4078,70.39056,200.2668,100,382.8706,4.225164,-12.89931
2,day_2,7/12/2013,11:31:00 AM,144,9,150.5,379.708,4.261737,19.9979,399.9994,437.9818,80.85539,198.8167,100,386.4265,4.280387,-9.199624
2,day_2,7/12/2013,11:31:20 AM,145,10,150.5,390.8561,4.374069,19.99512,400.0006,439.6723,46.52823,198.8944,100,397.5323,4.391381,-11.90518
2,day_2,7/12/2013,11:31:40 AM,146,5,150.5,380.4344,4.270958,20.00523,399.998,437.7527,87.26109,198.7893,100,387.1303,4.289292,-8.943584
2,day_2,7/12/2013,11:32:00 AM,147,6,150.5,384.1158,4.293924,19.99912,399.9984,438.7214,66.23129,198.9153,100,390.7982,4.312028,-13.0414
2,day_2,7/12/2013,11:32:20 AM,148,13,150.5,379.4587,4.259937,20.00139,399.9965,438.2068,77.14382,198.7393,100,386.1548,4.278401,-8.962624
2,day_2,7/12/2013,11:32:40 AM,149,14,150.5,388.887,4.346062,20.0012,399.9989,437.3905,95.24948,198.7532,100,395.5685,4.363684,-13.2625
2,day_2,7/12/2013,11:33:00 AM,150,15,150.5,375.4612,4.215235,19.99997,399.9994,437.8648,85.80513,198.8638,100,382.1646,4.234096,-8.985153
2,day_2,7/12/2013,11:33:20 AM,151,16,150.5,390.0822,4.360798,19.99884,399.9978,437.4924,94.74458,198.9805,100,396.7639,4.378305,-12.93938
2,day_2,7/12/2013,11:33:40 AM,152,11,150.5,377.8905,4.241822,20.00139,399.9987,437.1575,102.9783,198.9008,100,384.5756,4.260331,-9.096263
2,day_2,7/12/2013,11:34:00 AM,153,12,150.5,391.5344,4.370819,20.0006,399.9991,437.2408,100.9071,199.2848,100,398.2121,4.388241,-14.29742
2,day_2,7/12/2013,11:34:20 AM,154,7,150.5,377.6487,4.238916,19.99561,400.0002,437.9037,85.88808,199.8077,100,384.3202,4.257254,-9.154015
2,day_2,7/12/2013,11:34:40 AM,155,8,150.5,370.1337,4.139455,20.00033,400.0007,438.5728,70.31023,200.459,100,376.8191,4.158763,-12.809
2,day_2,7/12/2013,11:35:00 AM,156,9,150.5,381.0411,4.275401,20.00166,399.9989,438.1879,80.78941,198.9307,100,387.7226,4.293581,-9.46843
2,day_2,7/12/2013,11:35:20 AM,157,10,150.5,389.7305,4.360328,19.99684,399.9957,439.827,46.48358,198.9612,100,396.4048,4.377771,-12.1658
2,day_2,7/12/2013,11:35:40 AM,158,3,150.5,766.2781,8.339917,19.99875,400.0851,456.8206,142.815,198.7145,100,772.9725,8.325756,-36.54906
2,day_2,7/12/2013,11:36:00 AM,159,4,150.5,315.6473,3.447404,20.00115,399.9993,457.9476,123.9489,198.9398,100,322.3242,3.472212,-36.42992
2,day_2,7/12/2013,11:36:20 AM,160,5,150.5,378.6621,4.250566,20.00603,399.9936,439.997,87.19696,198.8913,100,385.6575,4.274551,-8.57757
2,day_2,7/12/2013,11:36:40 AM,161,6,150.5,383.361,4.285323,20.00553,399.9994,439.955,66.27732,198.9229,100,390.3602,4.30911,-12.60249
2,day_2,7/12/2013,11:37:00 AM,162,13,150.5,379.7293,4.262716,20.00035,400.0002,438.9337,77.18223,198.71,100,386.7207,4.286543,-8.529834
2,day_2,7/12/2013,11:37:20 AM,163,14,150.5,387.7554,4.334051,20.00049,400,437.8234,95.30116,198.6653,100,394.7509,4.357328,-12.65927
2,day_2,7/12/2013,11:37:40 AM,164,15,150.5,380.4399,4.270636,20.00021,399.9992,438.1126,85.90848,198.6872,100,387.4354,4.294489,-8.524015
2,day_2,7/12/2013,11:38:00 AM,165,16,150.5,389.054,4.350479,19.99433,400.0002,437.6235,94.89262,198.7601,100,396.0505,4.373659,-12.21084
2,day_2,7/12/2013,11:38:20 AM,166,11,150.5,380.8707,4.27582,20.00342,399.9994,437.1849,103.024,198.764,100,387.876,4.299656,-8.458865
2,day_2,7/12/2013,11:38:40 AM,167,12,150.5,393.4661,4.392718,20.0014,399.9991,437.2219,100.9136,199.1146,100,400.4718,4.41574,-13.71702
2,day_2,7/12/2013,11:39:00 AM,168,7,150.5,378.5623,4.250291,19.99832,400,437.9282,86.10983,199.517,100,385.5489,4.274165,-8.387742
2,day_2,7/12/2013,11:39:20 AM,169,8,150.5,373.6256,4.177986,20.00351,399.9998,438.6098,70.48985,200.1942,100,380.6179,4.20245,-12.39496
2,day_2,7/12/2013,11:39:40 AM,170,9,150.5,381.4107,4.280887,20.00176,399.9985,438.2076,80.99881,198.6762,100,388.3869,4.304386,-8.673835
2,day_2,7/12/2013,11:40:00 AM,171,10,150.5,388.589,4.348807,19.99857,399.9965,439.9251,46.858,198.6658,100,395.5878,4.372109,-11.40593
2,day_2,7/12/2013,11:40:20 AM,172,5,150.5,378.851,4.253766,20.00777,399.9996,438.0351,87.42501,198.627,100,385.8423,4.27766,-8.33178
2,day_2,7/12/2013,11:40:40 AM,173,6,150.5,382.6436,4.277233,20.00348,399.9993,438.9922,66.45953,198.7313,100,389.6459,4.301038,-12.64573
2,day_2,7/12/2013,11:41:00 AM,174,13,150.5,379.5135,4.259796,19.99966,399.9968,438.5024,77.26884,198.6736,100,386.5053,4.283658,-8.64474
2,day_2,7/12/2013,11:41:20 AM,175,14,150.5,386.7884,4.322252,19.99804,399.9963,437.7001,95.26813,198.7137,100,393.7836,4.345624,-12.89247
2,day_2,7/12/2013,11:41:40 AM,176,15,150.5,378.9659,4.254038,20.00339,400.0006,438.1465,85.9187,198.7529,100,385.9561,4.277877,-8.574121
2,day_2,7/12/2013,11:42:00 AM,177,16,150.5,388.939,4.348221,19.99862,400.003,437.7787,94.85687,198.862,100,395.9317,4.371394,-12.42626
2,day_2,7/12/2013,11:42:20 AM,178,11,150.5,377.4384,4.237227,20.00155,400.0007,437.4015,103.0058,198.7449,100,384.4227,4.261163,-8.508407
2,day_2,7/12/2013,11:42:40 AM,179,12,150.5,393.4022,4.392194,20.00233,400.0038,437.4838,100.9219,199.1095,100,400.4072,4.415195,-13.67976
2,day_2,7/12/2013,11:43:00 AM,180,7,150.5,379.6823,4.262695,19.99909,399.9998,438.181,86.17847,199.3977,100,386.6764,4.286573,-8.409166
2,day_2,7/12/2013,11:43:20 AM,181,8,150.5,372.0328,4.161335,19.99887,400.0005,438.8594,70.57751,200.0754,100,379.0164,4.185928,-12.12103
2,day_2,7/12/2013,11:43:40 AM,182,9,150.5,378.6717,4.250798,20.00257,400.0007,438.4543,81.11728,198.5062,100,385.6443,4.274493,-8.557064
2,day_2,7/12/2013,11:44:00 AM,183,10,150.5,387.276,4.334949,19.99699,400.0021,440.119,47.11579,198.4818,100,394.2755,4.358309,-11.2464
