"Photo","gm","chamber","lcl","ucl","pred"
6.37536025525,0.0431123276308782,"ch12",7.48148758892938,10.6394297162215,9.18638910404463
7.39716985375,0.0625429235937627,"ch06",8.37208668366182,11.1435189782645,9.87277084030081
9.540717944,0.0706897217910156,"ch11",8.75924949441291,11.3715692794239,10.1605547817836
8.27248257576,0.0758914920963369,"ch02",8.9960203364441,11.5133443625172,10.3443062292736
8.78498615758333,0.095376435477996,"ch09",9.8790585529083,12.0874659959679,11.032607776725
11.9384786825,0.0994760412767519,"ch08",10.0551105516795,12.1975627302251,11.1774254936643
11.3614134,0.101479295242475,"ch09",10.1403316070715,12.2481234364948,11.2481900207937
10.2561756725,0.101518523350107,"ch10",10.1420190521821,12.2496002992773,11.2495757454867
10.6844391175,0.102418449580708,"ch04",10.1807304815499,12.283480790517,11.2813654512602
12.56794463,0.102674176983207,"ch09",10.1917309090768,12.2931084352345,11.2903989682388
10.44553237444,0.10467419247693,"ch05",10.2777640258891,12.3684051708003,11.3610490970224
9.93854939875,0.105585641299577,"ch02",10.3169711136708,12.4027194654625,11.3932458359486
9.94196705525,0.113635117736562,"ch11",10.6625606361151,12.6471631868486,11.677591906616
13.9607323725,0.120388334485189,"ch10",10.926243824561,12.8571367722797,11.9161478750531
12.2193193325,0.122166905237758,"ch12",10.9897740216865,12.907022266653,11.978975514696
12.7564291655556,0.125512847577146,"ch10",11.120349638579,13.0134352979144,12.0971702276482
10.531800016,0.126339943857047,"ch07",11.1495251761446,13.0427381085401,12.1263872306538
13.4800128725,0.128236397571112,"ch04",11.2200547131347,13.0965049802339,12.1933790612429
11.720363375,0.132898042746515,"ch08",11.3888019942534,13.2573789314161,12.3580507015474
12.5642538875,0.137924031507292,"ch01",11.5887858558027,13.4320218207858,12.5355927027612
13.7250535766667,0.141758627740344,"ch06",11.7516220043221,13.5684030242661,12.6710490122491
12.2999191591667,0.142902744190305,"ch08",11.7932731868702,13.6062106004539,12.7114646864211
15.1201224333334,0.148475387526855,"ch12",12.0212523584462,13.8051249300876,12.9083171461286
11.8677244866667,0.152071077173234,"ch07",12.1663998595652,13.9300956349088,13.035334130437
16.751101745,0.153512685396338,"ch04",12.2081861549672,13.9781502357362,13.0862586392409
16.8948101576,0.156106620879596,"ch10",12.2991138491474,14.0773807201102,13.1778888673685
10.1867002595,0.157231427520975,"ch11",12.341276765401,14.1186979714516,13.2176224265932
10.4081894575,0.161908751249214,"ch01",12.4791837044006,14.2865872603693,13.3828479084957
16.135120035,0.162019250805609,"ch01",12.4827412483425,14.2905910256889,13.3867512822017
14.84356211,0.16222040826736,"ch10",12.489231672792,14.2978796275205,13.393857127443
15.946479355,0.16238969813601,"ch09",12.4946957673908,14.3040135607884,13.3998372566267
15.0187484625,0.1654373273023,"ch05",12.5932263966323,14.4144456279348,13.5074941191655
16.037477638,0.165592063835083,"ch12",12.5982469401317,14.4202120976599,13.5129601548052
18.213527735,0.171299226554175,"ch03",12.8551090601654,14.6563626357213,13.7145644835509
11.72534643,0.172982842337227,"ch04",12.894193536672,14.7105238231273,13.7740378587663
18.420815,0.174927854925442,"ch02",12.9471523558187,14.7860979424987,13.8427450214231
9.5605827688,0.177602648852321,"ch07",13.0402633699214,14.8830556451342,13.9372315571508
13.139058765,0.183639787086031,"ch07",13.2424129828067,15.0999295116845,14.1504922018983
12.7591023125,0.185850329892113,"ch03",13.3114189719023,15.1796709672804,14.2285791639351
14.2326777125,0.188379700510899,"ch05",13.4025674480999,15.2702416075505,14.3179286517364
17.051567656,0.18974312906359,"ch05",13.4486243151547,15.3246397667041,14.3660914800431
18.2306537208334,0.195855034304693,"ch03",13.6465428796112,15.5634394964513,14.5819932536807
13.349875525,0.200614331556553,"ch05",13.7734734457981,15.7537300378044,14.750114433151
18.4821570775,0.201821854445551,"ch03",13.8091932195926,15.8018636118769,14.7927699265133
17.8162543785,0.203923806760498,"ch02",13.8689089660636,15.8857159102762,14.8670209521749
18.401352236,0.204293002476258,"ch09",13.8811088531002,15.9003921207715,14.8800627135746
13.0386751833333,0.21017282883724,"ch07",14.0371309988235,16.1374354674673,15.0877663493377
17.69100141,0.211648727667309,"ch01",14.0846077884129,16.1964781110165,15.1399021666568
9.61208616,0.212125327016068,"ch11",14.0999907758776,16.219444779081,15.1567379389164
16.2628882091667,0.212974372790514,"ch05",14.1270300679578,16.2609303062485,15.1867303032236
18.066884158,0.219723472997801,"ch10",14.3260836062605,16.5454717146948,15.4251408556994
9.5766731775,0.227309723122253,"ch06",14.5459504246301,16.8746604579618,15.6931235538133
15.6108663875,0.254557900803966,"ch12",15.3065896517484,18.07836747299,16.6556597283452
13.771565037,0.264030627869734,"ch12",15.5717580193032,18.5110044757478,16.9902818296386
16.720470095,0.340644299561645,"ch02",17.5319892542639,22.0663167903257,19.6966437496385
