TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
9:46:20,19/03/2014 9:46,3,773.3206,8.332357,-36.21928,H4
9:46:40,19/03/2014 9:46,4,322.5197,3.476211,-35.90506,H4
9:47:00,19/03/2014 9:47,17,419.6912,4.654512,-7.994263,H4
9:47:20,19/03/2014 9:47,18,396.2957,4.398243,-7.273046,H4
9:48:20,19/03/2014 9:48,3,773.4689,8.3339,-36.22573,H4
9:48:40,19/03/2014 9:48,4,322.6384,3.477817,-35.81473,H4
9:49:00,19/03/2014 9:49,17,419.7495,4.655005,-8.026882,H4
9:49:20,19/03/2014 9:49,18,396.3079,4.398203,-7.31254,H4
9:50:20,19/03/2014 9:50,3,773.3987,8.333157,-36.22413,H4
9:50:40,19/03/2014 9:50,4,322.6205,3.477621,-35.81537,H4
9:51:00,19/03/2014 9:51,17,420.6457,4.665342,-7.942207,H4
9:51:20,19/03/2014 9:51,18,396.598,4.401845,-7.217311,H4
9:52:20,19/03/2014 9:52,3,773.3984,8.33334,-36.20271,H4
9:52:40,19/03/2014 9:52,4,322.6173,3.47763,-35.80359,H4
9:53:00,19/03/2014 9:53,17,420.6542,4.665292,-7.972903,H4
9:53:20,19/03/2014 9:53,18,396.302,4.398551,-7.219625,H4
9:54:20,19/03/2014 9:54,3,773.4597,8.333515,-36.25874,H4
9:54:40,19/03/2014 9:54,4,322.5951,3.477529,-35.76496,H4
9:55:00,19/03/2014 9:55,17,420.6653,4.666053,-7.837325,H4
9:55:20,19/03/2014 9:55,18,396.081,4.396292,-7.175599,H4
10:08:20,19/03/2014 10:08,3,773.2819,8.331088,-36.31799,H4
10:08:40,19/03/2014 10:08,4,322.4511,3.474905,-36.06242,H4
10:09:00,19/03/2014 10:09,17,419.9876,4.657611,-8.034257,H4
10:09:20,19/03/2014 10:09,18,391.0743,4.339947,-7.352444,H4
10:10:20,19/03/2014 10:10,3,773.3725,8.332705,-36.24374,H4
10:10:40,19/03/2014 10:10,4,322.5677,3.476156,-36.06377,H4
10:11:00,19/03/2014 10:11,17,419.9391,4.657166,-8.014563,H4
10:11:20,19/03/2014 10:11,18,390.4541,4.333447,-7.264792,H4
10:12:20,19/03/2014 10:12,3,773.4719,8.334109,-36.20532,H4
10:12:40,19/03/2014 10:12,4,322.6402,3.477467,-35.9169,H4
10:13:00,19/03/2014 10:13,17,420.0028,4.657715,-8.048141,H4
10:13:20,19/03/2014 10:13,18,389.9327,4.327854,-7.220497,H4
10:14:20,19/03/2014 10:14,3,773.4816,8.333805,-36.25254,H4
10:14:40,19/03/2014 10:14,4,322.619,3.477072,-35.96338,H4
10:15:00,19/03/2014 10:15,17,419.1567,4.648197,-8.076886,H4
10:15:20,19/03/2014 10:15,18,388.6084,4.313075,-7.238983,H4
10:16:20,19/03/2014 10:16,3,773.3767,8.332623,-36.25842,H4
10:16:40,19/03/2014 10:16,4,322.6268,3.477307,-35.92113,H4
10:17:00,19/03/2014 10:17,17,419.1716,4.648643,-8.017032,H4
10:17:20,19/03/2014 10:17,18,388.4237,4.311274,-7.181845,H4
10:28:20,19/03/2014 10:28,3,773.3435,8.332076,-36.28039,H4
10:28:40,19/03/2014 10:28,4,322.6006,3.477348,-35.8317,H4
10:29:00,19/03/2014 10:29,17,419.2444,4.648998,-8.113452,H4
10:29:20,19/03/2014 10:29,18,378.829,4.206204,-6.844845,H4
10:30:20,19/03/2014 10:30,3,773.4869,8.333822,-36.25703,H4
10:30:40,19/03/2014 10:30,4,322.6404,3.477691,-35.85523,H4
10:31:00,19/03/2014 10:31,17,419.2538,4.648975,-8.140367,H4
10:31:20,19/03/2014 10:31,18,379.3295,4.211132,-6.993314,H4
10:32:20,19/03/2014 10:32,3,773.4911,8.334202,-36.21846,H4
10:32:40,19/03/2014 10:32,4,322.6341,3.477528,-35.88192,H4
10:33:00,19/03/2014 10:33,17,419.0777,4.646876,-8.171691,H4
10:33:20,19/03/2014 10:33,18,379.7475,4.215691,-7.012519,H4
10:34:20,19/03/2014 10:34,3,773.4258,8.334023,-36.15785,H4
10:34:40,19/03/2014 10:34,4,322.6544,3.477628,-35.91439,H4
10:35:00,19/03/2014 10:35,17,419,4.645819,-8.213335,H4
10:35:20,19/03/2014 10:35,18,380.2599,4.221623,-6.954927,H4
10:36:20,19/03/2014 10:36,3,773.3837,8.333788,-36.13248,H4
10:36:40,19/03/2014 10:36,4,322.6021,3.477678,-35.74456,H4
10:37:00,19/03/2014 10:37,17,418.8726,4.644512,-8.190948,H4
10:37:20,19/03/2014 10:37,18,381.0486,4.229393,-7.186973,H4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
