time,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
13:44:20,10/25/2013 13:44:20,3,773.512,8.334024,-36.265
13:44:40,10/25/2013 13:44:40,4,322.6041,3.477315,-35.8511
13:45:00,10/25/2013 13:45:00,9,403.256,4.487655,-4.575251
13:45:20,10/25/2013 13:45:20,10,378.3571,4.212821,-4.042176
13:45:40,10/25/2013 13:45:40,3,773.3751,8.334485,-36.04102
13:46:00,10/25/2013 13:46:00,4,322.5865,3.477248,-35.81711
13:46:20,10/25/2013 13:46:20,9,403.3035,4.487477,-4.73181
13:46:40,10/25/2013 13:46:40,10,378.339,4.212306,-4.115842
13:47:00,10/25/2013 13:47:00,3,773.4615,8.333059,-36.31386
13:47:20,10/25/2013 13:47:20,4,322.5524,3.476321,-35.97237
13:47:40,10/25/2013 13:47:40,9,401.7345,4.470782,-4.561919
13:48:00,10/25/2013 13:48:00,10,376.9032,4.196733,-4.018097
13:48:20,10/25/2013 13:48:20,3,773.3321,8.333331,-36.12095
13:48:40,10/25/2013 13:48:40,4,322.6034,3.478054,-35.64441
13:49:00,10/25/2013 13:49:00,9,401.6949,4.470444,-4.539193
13:49:20,10/25/2013 13:49:20,10,376.8414,4.196241,-3.971524
13:49:40,10/25/2013 13:49:40,3,773.4617,8.335915,-35.98375
13:50:00,10/25/2013 13:50:00,4,322.6906,3.477907,-35.94557
13:50:20,10/25/2013 13:50:20,9,401.6765,4.469124,-4.787138
13:50:40,10/25/2013 13:50:40,10,376.879,4.195586,-4.226513
13:51:00,10/25/2013 13:51:00,3,773.4478,8.332196,-36.39638
13:51:20,10/25/2013 13:51:20,4,322.5609,3.476824,-35.85824
13:51:40,10/25/2013 13:51:40,9,401.65,4.46999,-4.528952
13:52:00,10/25/2013 13:52:00,10,376.8113,4.196105,-3.924389
14:15:00,10/25/2013 14:15:00,3,773.5627,8.332691,-36.4824
14:15:20,10/25/2013 14:15:20,4,322.6091,3.476993,-35.95549
14:15:40,10/25/2013 14:15:40,9,403.1946,4.486779,-4.617977
14:16:00,10/25/2013 14:16:00,10,384.6221,4.282245,-4.119565
14:16:20,10/25/2013 14:16:20,3,773.3488,8.332493,-36.23868
14:16:40,10/25/2013 14:16:40,4,322.5826,3.476987,-35.87816
14:17:00,10/25/2013 14:17:00,9,403.2664,4.487488,-4.637692
14:17:20,10/25/2013 14:17:20,10,384.0757,4.276616,-4.013894
14:17:40,10/25/2013 14:17:40,3,773.3823,8.333542,-36.15921
14:18:00,10/25/2013 14:18:00,4,322.6539,3.477042,-36.07589
14:18:20,10/25/2013 14:18:20,9,403.2149,4.487172,-4.580702
14:18:40,10/25/2013 14:18:40,10,383.5585,4.271157,-3.943931
14:19:00,10/25/2013 14:19:00,3,773.4224,8.333707,-36.19004
14:19:20,10/25/2013 14:19:20,4,322.5375,3.476898,-35.76789
14:19:40,10/25/2013 14:19:40,9,403.2581,4.4877,-4.570339
14:20:00,10/25/2013 14:20:00,10,383.2141,4.267341,-3.939397
14:20:20,10/25/2013 14:20:20,3,773.2888,8.33211,-36.20834
14:20:40,10/25/2013 14:20:40,4,322.6229,3.477859,-35.75661
14:21:00,10/25/2013 14:21:00,9,403.3163,4.488298,-4.581264
14:21:20,10/25/2013 14:21:20,10,382.8344,4.262904,-3.988188
14:35:00,10/25/2013 14:35:00,3,773.2852,8.33329,-36.06729
14:35:20,10/25/2013 14:35:20,4,322.5895,3.477287,-35.81525
14:35:40,10/25/2013 14:35:40,9,401.7919,4.471251,-4.599712
14:36:00,10/25/2013 14:36:00,10,369.1985,4.112356,-3.675756
14:36:20,10/25/2013 14:36:20,3,773.4645,8.333205,-36.30045
14:36:40,10/25/2013 14:36:40,4,322.5659,3.477071,-35.80476
14:37:00,10/25/2013 14:37:00,9,401.933,4.472745,-4.616531
14:37:20,10/25/2013 14:37:20,10,369.008,4.109923,-3.751031
14:37:40,10/25/2013 14:37:40,3,773.3456,8.332256,-36.26225
14:38:00,10/25/2013 14:38:00,4,322.7272,3.477964,-36.03913
14:38:20,10/25/2013 14:38:20,9,402.0772,4.474441,-4.596486
14:38:40,10/25/2013 14:38:40,10,368.6143,4.106609,-3.491407
14:39:00,10/25/2013 14:39:00,3,773.5681,8.33515,-36.20469
14:39:20,10/25/2013 14:39:20,4,322.5813,3.477311,-35.78402
14:39:40,10/25/2013 14:39:40,9,402.0469,4.474333,-4.545441
14:40:00,10/25/2013 14:40:00,10,368.3287,4.103331,-3.514625
14:40:20,10/25/2013 14:40:20,3,773.4034,8.333788,-36.15707
14:40:40,10/25/2013 14:40:40,4,322.5629,3.477082,-35.79274
14:41:00,10/25/2013 14:41:00,9,402.1051,4.474439,-4.665894
14:41:20,10/25/2013 14:41:20,10,368.2001,4.10156,-3.59707
