time,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
9:47:00,10/26/2013 09:47:00,3,773.2988,8.331285,-36.3162
9:47:20,10/26/2013 09:47:20,4,322.5273,3.476046,-35.9733
9:47:40,10/26/2013 09:47:40,7,403.0955,4.482111,-5.40873
9:48:00,10/26/2013 09:48:00,8,370.4503,4.123435,-4.36714
9:48:20,10/26/2013 09:48:20,3,773.4623,8.332443,-36.3859
9:48:40,10/26/2013 09:48:40,4,322.5918,3.476207,-36.1218
9:49:00,10/26/2013 09:49:00,7,402.9637,4.48105,-5.31897
9:49:20,10/26/2013 09:49:20,8,369.8986,4.117987,-4.19995
9:49:40,10/26/2013 09:49:40,3,773.2377,8.331594,-36.2043
9:50:00,10/26/2013 09:50:00,4,322.5505,3.476553,-35.9022
9:50:20,10/26/2013 09:50:20,7,402.9962,4.480974,-5.41633
9:50:40,10/26/2013 09:50:40,8,369.606,4.114405,-4.27843
9:51:00,10/26/2013 09:51:00,3,773.5198,8.332727,-36.4248
9:51:20,10/26/2013 09:51:20,4,322.5757,3.476071,-36.1113
9:51:40,10/26/2013 09:51:40,7,402.8964,4.480402,-5.29686
9:52:00,10/26/2013 09:52:00,8,369.2131,4.110668,-4.12412
9:52:20,10/26/2013 09:52:20,3,773.2292,8.330794,-36.2861
9:52:40,10/26/2013 09:52:40,4,322.5318,3.476286,-35.9204
9:53:00,10/26/2013 09:53:00,7,402.8849,4.480134,-5.32775
9:53:20,10/26/2013 09:53:20,8,369.0264,4.108478,-4.15115
10:12:20,10/26/2013 10:12:20,3,773.1986,8.330564,-36.2746
10:12:40,10/26/2013 10:12:40,4,322.4151,3.473852,-36.247
10:13:00,10/26/2013 10:13:00,7,403.572,4.488005,-5.27702
10:13:20,10/26/2013 10:13:20,8,384.5109,4.278702,-4.6558
10:13:40,10/26/2013 10:13:40,3,773.0661,8.32905,-36.2847
10:14:00,10/26/2013 10:14:00,4,322.4186,3.474717,-36.0171
10:14:20,10/26/2013 10:14:20,7,403.7226,4.490141,-5.17477
10:14:40,10/26/2013 10:14:40,8,384.5769,4.279859,-4.55756
10:15:00,10/26/2013 10:15:00,3,773.1138,8.330847,-36.1362
10:15:20,10/26/2013 10:15:20,4,322.3624,3.475144,-35.7305
10:15:40,10/26/2013 10:15:40,7,403.7792,4.490495,-5.23575
10:16:00,10/26/2013 10:16:00,8,384.4883,4.278714,-4.5945
10:16:20,10/26/2013 10:16:20,3,773.1719,8.33172,-36.1077
10:16:40,10/26/2013 10:16:40,4,322.5261,3.476525,-35.8369
10:17:00,10/26/2013 10:17:00,7,403.693,4.490082,-5.11482
10:17:20,10/26/2013 10:17:20,8,384.27,4.276655,-4.50833
10:17:40,10/26/2013 10:17:40,3,773.1348,8.332911,-35.9238
10:18:00,10/26/2013 10:18:00,4,322.465,3.476484,-35.6658
10:18:20,10/26/2013 10:18:20,7,403.7256,4.490436,-5.11674
10:18:40,10/26/2013 10:18:40,8,384.2023,4.275964,-4.49385
10:19:00,10/26/2013 10:19:00,3,773.0547,8.332287,-35.8959
10:19:20,10/26/2013 10:19:20,4,322.4325,3.475981,-35.7082
10:19:40,10/26/2013 10:19:40,7,403.7824,4.490314,-5.2838
10:20:00,10/26/2013 10:20:00,8,384.1049,4.27459,-4.56099
10:32:20,10/26/2013 10:32:20,3,773.2064,8.33328,-35.9703
10:32:40,10/26/2013 10:32:40,4,322.5015,3.477002,-35.6312
10:33:00,10/26/2013 10:33:00,7,401.7025,4.467075,-5.30784
10:33:20,10/26/2013 10:33:20,8,372.8901,4.150652,-4.3531
10:33:40,10/26/2013 10:33:40,3,773.3367,8.333842,-36.0676
10:34:00,10/26/2013 10:34:00,4,322.5738,3.477078,-35.8265
10:34:20,10/26/2013 10:34:20,7,401.5866,4.466073,-5.24431
10:34:40,10/26/2013 10:34:40,8,372.758,4.148739,-4.4591
10:35:00,10/26/2013 10:35:00,3,773.1298,8.329942,-36.2609
10:35:20,10/26/2013 10:35:20,4,322.5141,3.476478,-35.8144
10:35:40,10/26/2013 10:35:40,7,401.6275,4.466461,-5.2591
10:36:00,10/26/2013 10:36:00,8,372.7642,4.148933,-4.42937
10:36:20,10/26/2013 10:36:20,3,773.5067,8.334947,-36.1516
10:36:40,10/26/2013 10:36:40,4,322.5997,3.476958,-35.9369
10:37:00,10/26/2013 10:37:00,7,401.5816,4.465016,-5.46722
10:37:20,10/26/2013 10:37:20,8,372.5638,4.146505,-4.47661
10:37:40,10/26/2013 10:37:40,3,773.3508,8.332485,-36.2422
10:38:00,10/26/2013 10:38:00,4,322.6049,3.476758,-36.0078
10:38:20,10/26/2013 10:38:20,7,401.6067,4.465886,-5.33557
10:38:40,10/26/2013 10:38:40,8,372.4017,4.144859,-4.43865
