"chamber","Month","leaf","leaf_area","leaf_mass","c13","n_perc","temp","drydown","leafN","lma","leafN_area","campaign"
"ch05","Feb","sun",36.25,0.36,-28.98,2.59,"ambient","control",0.009324,99.3103448275862,2.57213793103448,4
"ch05","Jan","shade",44.61,0.56,-30.11,1.82,"ambient","control",0.010192,125.532391840395,2.28468953149518,3
"ch05","Jan","sun",46.31,0.52,-28.04,2.78,"ambient","control",0.014456,112.286763118117,3.12157201468365,3
"ch05","Feb","shade",40.68,0.58,-29.7,1.77,"ambient","control",0.010266,142.576204523107,2.523598820059,4
"ch05","Oct","shade",30.6,0.34,-29.84,2.05,"ambient","control",0.00697,111.111111111111,2.27777777777778,1
"ch05","Dec","shade",56.23,0.6,-31.13,1.87,"ambient","control",0.01122,106.704606082163,1.99537613373644,2
"ch05","Dec","sun",57.52,0.75,-28.1,2.23,"ambient","control",0.016725,130.38942976356,2.9076842837274,2
"ch06","Mar","shade",33.58,0.3,-29.89,2.02,"elevated","drought",0.00606,89.3388921977368,1.80464562239428,5
"ch06","Dec","shade",36.66,0.37,-30.06,1.84,"elevated","control",0.006808,100.927441352973,1.85706492089471,2
"ch06","Feb","shade",24.67,0.21,-30.02,2.15,"elevated","control",0.004515,85.1236319416295,1.83015808674503,4
"ch06","Apr","shade",49.21,0.62,-27.52,1.8,"elevated","drought",0.01116,125.990652306442,2.26783174151595,6
"ch06","Apr","sun",31.07,0.38,-27.69,2.19,"elevated","drought",0.008322,122.304473768909,2.67846797553911,6
"ch06","Oct","sun",25.27,0.23,-26.45,2.96,"elevated","control",0.006808,91.0170162247725,2.69410368025327,1
"ch06","Jan","sun",40.32,0.34,-28.23,3.1,"elevated","control",0.01054,84.3253968253968,2.6140873015873,3
"ch06","Mar","sun",44.1,0.41,-27.91,3.14,"elevated","drought",0.012874,92.9705215419501,2.91927437641723,5
"ch06","Feb","sun",45.16,0.38,-27.6,3.53,"elevated","control",0.013414,84.1452612931798,2.97032772364925,4
"ch06","Jan","shade",34.71,0.38,-28.95,1.84,"elevated","control",0.006992,109.478536444829,2.01440507058485,3
"ch06","Dec","sun",34.16,0.34,-28.73,2.42,"elevated","control",0.008228,99.5316159250586,2.40866510538642,2
"ch06","Oct","shade",29.59,0.32,-29.34,2,"elevated","control",0.0064,108.144643460629,2.16289286921257,1
"ch07","Apr","sun",42.93,0.72,-27.48,1.63,"ambient","control",0.011736,167.714884696017,2.73375262054507,6
"ch07","Mar","shade",55.38,0.79,-29.97,1.43,"ambient","control",0.011297,142.650776453593,2.03990610328638,5
"ch07","Feb","sun",45.99,0.49,-28.32,2.15,"ambient","control",0.010535,106.544901065449,2.29071537290715,4
"ch07","Jan","shade",65.88,1,-28.76,1.64,"ambient","control",0.0164,151.791135397693,2.48937462052216,3
"ch07","Dec","shade",54.04,0.58,-32.21,1.7,"ambient","control",0.00986,107.327905255366,1.82457438934123,2
"ch07","Feb","shade",49.04,0.68,-30,1.47,"ambient","control",0.009996,138.662316476346,2.03833605220228,4
"ch07","Apr","shade",56.03,0.98,-29.66,1.38,"ambient","control",0.013524,174.906300196323,2.41370694270926,6
"ch07","Oct","shade",59.23,0.63,-31.12,1.6,"ambient","control",0.01008,106.365017727503,1.70184028364005,1
"ch07","Oct","sun",64,0.72,-27,1.99,"ambient","control",0.014328,112.5,2.23875,1
"ch07","Jan","sun",64.25,0.69,-28.4,2.6,"ambient","control",0.01794,107.392996108949,2.79221789883269,3
"ch07","Mar","sun",53.63,0.63,-27.18,1.86,"ambient","control",0.011718,117.471564422898,2.1849710982659,5
"ch07","Dec","sun",53.95,0.56,-29.39,2.05,"ambient","control",0.01148,103.799814643188,2.12789620018536,2
"ch08","Mar","shade",56.77,0.7,-29.81,1.57,"elevated","drought",0.01099,123.304562268804,1.93588162762022,5
"ch08","Mar","sun",58.81,0.61,-28.3,2.39,"elevated","drought",0.014579,103.723856486992,2.47900017003911,5
"ch08","Apr","sun",37.58,0.45,-27.72,2.16,"elevated","drought",0.00972,119.744544970729,2.58648217136775,6
"ch08","Jan","sun",44.04,0.54,-27.49,2.5,"elevated","control",0.0135,122.615803814714,3.06539509536785,3
"ch08","Feb","shade",50.23,0.66,-29.16,1.8,"elevated","control",0.01188,131.39558033048,2.36512044594864,4
"ch08","Feb","sun",45.07,0.38,-27.61,2.63,"elevated","control",0.009994,84.3132904370978,2.21743953849567,4
"ch08","Jan","shade",56.49,0.71,-29.42,1.66,"elevated","control",0.011786,125.685962117189,2.08638697114534,3
"ch08","Dec","shade",52.05,0.85,-30.11,1.34,"elevated","control",0.01139,163.304514889529,2.18828049951969,2
"ch08","Dec","sun",54.69,0.74,-29,2.26,"elevated","control",0.016724,135.308100201134,3.05796306454562,2
"ch08","Apr","shade",40.26,0.54,-30,1.51,"elevated","drought",0.008154,134.128166915052,2.02533532041729,6
"ch08","Oct","shade",78.68,0.85,-30.18,1.68,"elevated","control",0.01428,108.03253685816,1.81494661921708,1
"ch08","Oct","sun",45.01,0.4,-26.92,3.31,"elevated","control",0.01324,88.8691401910687,2.94156854032437,1
"ch09","Apr","shade",43.23,0.43,-29.43,1.67,"ambient","control",0.007181,99.4679620633819,1.66111496645848,6
"ch09","Apr","sun",39.82,0.57,-28.4,2.37,"ambient","control",0.013509,143.144148669011,3.39251632345555,6
"ch09","Oct","sun",41.41,0.45,-27.28,2.92,"ambient","control",0.01314,108.669403525718,3.17314658295098,1
"ch09","Mar","shade",52.15,0.51,-29.18,2.5,"ambient","control",0.01275,97.7948226270374,2.44487056567593,5
"ch09","Mar","sun",49.89,0.46,-28.15,2.8,"ambient","control",0.01288,92.2028462617759,2.58167969532973,5
"ch09","Feb","sun",55.22,0.61,-27.07,2.47,"ambient","control",0.015067,110.467222021007,2.72854038391887,4
"ch09","Jan","shade",35.42,0.61,-29.25,2.07,"ambient","control",0.012627,172.219085262564,3.56493506493506,3
"ch09","Jan","sun",58.25,0.45,-27.98,2.84,"ambient","control",0.01278,77.2532188841202,2.19399141630901,3
"ch09","Feb","shade",52.56,0.54,-29.42,1.95,"ambient","control",0.01053,102.739726027397,2.00342465753425,4
"ch09","Oct","shade",32.81,0.32,-28.87,2.41,"ambient","control",0.007712,97.5312404754648,2.3505028954587,1
"ch09","Dec","shade",32.36,0.31,-31.24,1.9,"ambient","control",0.00589,95.7972805933251,1.82014833127318,2
"ch09","Dec","sun",57.26,0.74,-27.33,2.97,"ambient","control",0.021978,129.235068110374,3.8382815228781,2
"ch10","Mar","shade",28.12,0.3,-31.15,1.53,"elevated","control",0.00459,106.685633001422,1.63229018492176,5
"ch10","Dec","shade",31.61,0.3,-30.85,1.87,"elevated","control",0.00561,94.9066751028156,1.77475482442265,2
"ch10","Feb","shade",33.84,0.36,-29.45,1.91,"elevated","control",0.006876,106.382978723404,2.03191489361702,4
"ch10","Apr","shade",38.99,0.52,-28.91,1.64,"elevated","control",0.008528,133.367530135932,2.18722749422929,6
"ch10","Apr","sun",35.5,0.36,-29.34,2.26,"elevated","control",0.008136,101.408450704225,2.29183098591549,6
"ch10","Oct","sun",42.44,0.51,-27.43,2.07,"elevated","control",0.010557,120.169651272385,2.48751178133836,1
"ch10","Jan","sun",29.05,0.31,-27.17,3.3,"elevated","control",0.01023,106.71256454389,3.52151462994836,3
"ch10","Mar","sun",51.82,0.52,-28.71,2.55,"elevated","control",0.01326,100.347356233115,2.55885758394442,5
"ch10","Feb","sun",45.76,0.41,-28.05,2.68,"elevated","control",0.010988,89.5979020979021,2.40122377622378,4
"ch10","Jan","shade",32.73,0.42,-28.81,1.89,"elevated","control",0.007938,128.322639780018,2.42529789184235,3
"ch10","Dec","sun",37.88,0.39,-27.97,1.94,"elevated","control",0.007566,102.956705385428,1.9973600844773,2
"ch10","Oct","shade",35.22,0.32,-29.39,1.97,"elevated","control",0.006304,90.8574673480977,1.78989210675752,1
"ch11","Apr","sun",43.61,0.74,-27.84,1.4,"ambient","drought",0.01036,169.685851868837,2.37560192616372,6
"ch11","Mar","shade",50.69,0.64,-29.86,1.47,"ambient","drought",0.009408,126.25764450582,1.85598737423555,5
"ch11","Feb","sun",40.25,0.61,-29.11,2.06,"ambient","control",0.012566,151.552795031056,3.12198757763975,4
"ch11","Jan","shade",43.71,0.56,-29.18,1.6,"ambient","control",0.00896,128.117135666895,2.04987417067033,3
"ch11","Dec","shade",52.04,0.57,-31.71,1.51,"ambient","control",0.008607,109.531129900077,1.65392006149116,2
"ch11","Feb","shade",45.82,0.54,-27.97,1.44,"ambient","control",0.007776,117.852466171977,1.69707551287647,4
"ch11","Apr","shade",43.64,0.55,-28.87,1.3,"ambient","drought",0.00715,126.031164069661,1.63840513290559,6
"ch11","Oct","shade",29.9,0.47,-29.73,1.54,"ambient","control",0.007238,157.190635451505,2.42073578595318,1
"ch11","Oct","sun",46.54,0.44,-27.63,2.38,"ambient","control",0.010472,94.5423291792007,2.25010743446498,1
"ch11","Jan","sun",39.7,0.47,-29.2,2.02,"ambient","control",0.009494,118.387909319899,2.39143576826196,3
"ch11","Mar","sun",42.68,0.57,-28.63,1.99,"ambient","drought",0.011343,133.552014995314,2.65768509840675,5
"ch11","Dec","sun",46.98,0.74,-26.52,1.61,"ambient","control",0.011914,157.513835674755,2.53597275436356,2
"ch12","Mar","shade",51.44,0.56,-32.7,1.51,"elevated","control",0.008456,108.864696734059,1.64385692068429,5
"ch12","Mar","sun",43.99,0.68,-28.26,1.49,"elevated","control",0.010132,154.580586496931,2.30325073880427,5
"ch12","Apr","sun",43.17,0.7,-28.23,1.56,"elevated","control",0.01092,162.149640954366,2.52953439888812,6
"ch12","Jan","sun",46.07,0.37,-29.39,1.94,"elevated","control",0.007178,80.3125678315607,1.55806381593228,3
"ch12","Feb","shade",41.36,0.48,-30.08,1.53,"elevated","control",0.007344,116.05415860735,1.77562862669246,4
"ch12","Feb","sun",53.67,0.64,-28.07,1.69,"elevated","control",0.010816,119.247251723495,2.01527855412707,4
"ch12","Jan","shade",44.52,0.59,-30.32,1.52,"elevated","control",0.008968,132.524707996406,2.01437556154537,3
"ch12","Dec","shade",47.14,0.82,-30.21,1.35,"elevated","control",0.01107,173.949936359779,2.34832414085702,2
"ch12","Dec","sun",45.23,0.67,-29.66,1.66,"elevated","control",0.011122,148.131770948486,2.45898739774486,2
"ch12","Apr","shade",58.77,0.65,-32.06,1.25,"elevated","control",0.008125,110.600646588395,1.38250808235494,6
"ch12","Oct","shade",49.72,0.66,-30.6,1.65,"elevated","control",0.01089,132.743362831858,2.19026548672566,1
"ch12","Oct","sun",35.03,0.39,-27.39,2.28,"elevated","control",0.008892,111.333143020268,2.53839566086212,1
