"chamber","id","pair_id","Ci","CO2R","c13","D","ci_bar","leaf","campaign","Month","temp","drydown"
"ch05","1-ch05-sun","gg",176.86055926,399.73880616,-27.18,19.3346774193548,242.681712276326,"sun","1","Oct","ambient","control"
"ch05","6-ch05-sun","i",192.729224997368,419.516505192105,-29.82,21.9959677419355,300.073125714219,"sun","6","Apr","ambient","control"
"ch05","4-ch05-sun","n",207.182671232258,420.052681209677,-28.98,21.1491935483871,285.997709678855,"sun","4","Feb","ambient","control"
"ch05","3-ch05-shade","x",278.5376979,420.320282,-30.11,22.2883064516129,305.643008627819,"shade","3","Jan","ambient","control"
"ch05","3-ch05-sun","x",173.575064285714,420.044237414286,-28.04,20.2016129032258,269.812050481757,"sun","3","Jan","ambient","control"
"ch05","2-ch05-shade","aa",200.66145598,400.51839598,-31.13,23.3165322580645,307.984518597721,"shade","2","Dec","ambient","control"
"ch05","2-ch05-sun","aa",170.26261202,400.8286499,-28.1,20.2620967741936,258.454586771673,"sun","2","Dec","ambient","control"
"ch06","1-ch06-shade","hh",212.4851302,400.22218628,-29.34,21.5120967741935,278.400031821247,"shade","1","Oct","elevated","control"
"ch06","2-ch06-shade","dd",200.34402356,400.71749266,-30.06,22.2379032258065,290.567473778735,"shade","2","Dec","elevated","control"
"ch06","3-ch06-shade","w",273.3492003,419.569414414286,-28.95,21.1189516129032,285.152875522219,"shade","3","Jan","elevated","control"
"ch06","1-ch06-sun","hh",128.50888732,399.8034668,-26.45,18.5987903225806,230.761203062359,"sun","1","Oct","elevated","control"
"ch06","4-ch06-shade","q",183.33494763871,419.925922019355,-30.02,22.1975806451613,303.807539111105,"shade","4","Feb","elevated","control"
"ch06","3-ch06-sun","w",175.7844364,419.822623128571,-28.23,20.3931451612903,272.938380231257,"sun","3","Jan","elevated","control"
"ch06","4-ch06-sun","q",187.3158186,420.523335109677,-27.6,19.758064516129,262.537581754153,"sun","4","Feb","elevated","control"
"ch06","2-ch06-sun","dd",175.12835866,399.78996582,-28.73,20.8971774193548,268.105934821559,"sun","2","Dec","elevated","control"
"ch07","5-ch07-shade","d",252.406305112903,419.628355954839,-29.97,22.1471774193548,302.732474931817,"shade","5","Mar","ambient","control"
"ch07","1-ch07-shade","hh",251.01314342,400.03950194,-31.12,23.3064516129032,307.45233685685,"shade","1","Oct","ambient","control"
"ch07","3-ch07-sun","t",143.5085882,419.85897216,-28.4,20.5645161290323,275.886875097529,"sun","3","Jan","ambient","control"
"ch07","4-ch07-shade","p",229.401910170968,419.85634686129,-30,22.1774193548387,303.4131035343,"shade","4","Feb","ambient","control"
"ch07","2-ch07-shade","dd",261.715227,400.28532716,-32.21,24.4052419354839,325.520520856102,"shade","2","Dec","ambient","control"
"ch07","3-ch07-shade","t",301.004512528571,420.228990828571,-28.76,20.9274193548387,282.329299044084,"shade","3","Jan","ambient","control"
"ch07","6-ch07-shade","l",283.514173242105,420.392699394737,-29.66,21.8346774193548,297.943540788579,"shade","6","Apr","ambient","control"
"ch07","1-ch07-sun","hh",151.07553278,399.26885988,-27,19.1532258064516,239.451367776184,"sun","1","Oct","ambient","control"
"ch07","6-ch07-sun","l",128.970133521053,419.642412684211,-27.48,19.6370967741935,259.924067179894,"sun","6","Apr","ambient","control"
"ch07","4-ch07-sun","p",188.875235909677,420.065844145161,-28.32,20.4838709677419,274.645725007576,"sun","4","Feb","ambient","control"
"ch07","5-ch07-sun","d",202.871105625806,420.111334035484,-27.18,19.3346774193548,255.049888375398,"sun","5","Mar","ambient","control"
"ch07","2-ch07-sun","dd",214.71855788,400.26936036,-29.39,21.5625,279.252963299939,"sun","2","Dec","ambient","control"
"ch08","1-ch08-shade","gg",175.6712385,400.36248168,-30.18,22.3588709677419,292.278786537238,"shade","1","Oct","elevated","control"
"ch08","1-ch08-sun","gg",141.35143606,399.4829773,-26.92,19.0725806451613,238.270170764365,"sun","1","Oct","elevated","control"
"ch08","4-ch08-sun","m",177.362245948387,420.803790677419,-27.61,19.7681451612903,262.885111363895,"sun","4","Feb","elevated","control"
"ch08","3-ch08-sun","t",176.94845722,420.29233398,-27.49,19.6471774193548,260.498853015764,"sun","3","Jan","elevated","control"
"ch08","4-ch08-shade","m",239.442092777419,419.733177929032,-29.16,21.3306451612903,288.876158452731,"shade","4","Feb","elevated","control"
"ch08","2-ch08-shade","cc",296.43381866,400.92903444,-30.11,22.2883064516129,291.542334691544,"shade","2","Dec","elevated","control"
"ch08","3-ch08-shade","t",279.84049006,420.41453246,-29.42,21.5927419354839,293.824331809426,"shade","3","Jan","elevated","control"
"ch08","2-ch08-sun","cc",191.1281391,400.4685303,-29,21.1693548387097,272.991824647856,"sun","2","Dec","elevated","control"
"ch09","6-ch09-shade","h",303.846212255263,419.603081147368,-29.43,21.6028225806452,293.429160945944,"shade","6","Apr","ambient","control"
"ch09","1-ch09-shade","ii",220.59369732,400.72403564,-28.87,21.0383064516129,271.03127266282,"shade","1","Oct","ambient","control"
"ch09","1-ch09-sun","ii",170.82527564,400.60944214,-27.28,19.4354838709677,244.851902676966,"sun","1","Oct","ambient","control"
"ch09","5-ch09-shade","f",306.115337776667,420.601276656667,-29.18,21.3508064516129,289.818326581644,"shade","5","Mar","ambient","control"
"ch09","5-ch09-sun","f",229.345790483871,420.323694054839,-28.15,20.3125,271.886210636082,"sun","5","Mar","ambient","control"
"ch09","3-ch09-sun","u",184.16002764,419.66529542,-27.98,20.1411290322581,268.536811608411,"sun","3","Jan","ambient","control"
"ch09","4-ch09-shade","o",270.454311287097,419.779129522581,-29.42,21.5927419354839,293.380253812349,"shade","4","Feb","ambient","control"
"ch09","4-ch09-sun","o",178.256977748387,420.399202403226,-27.07,19.2237903225806,253.329659683153,"sun","4","Feb","ambient","control"
"ch09","3-ch09-shade","u",218.99837402,419.96692502,-29.25,21.4213709677419,290.585887192979,"shade","3","Jan","ambient","control"
"ch09","6-ch09-sun","h",235.167583176316,419.322783618421,-28.4,20.5645161290323,275.53454874271,"sun","6","Apr","ambient","control"
"ch09","2-ch09-shade","cc",228.86679998,399.46898806,-31.24,23.4274193548387,308.978209555719,"shade","2","Dec","ambient","control"
"ch09","2-ch09-sun","cc",172.98233968,400.68059084,-27.33,19.4858870967742,245.716347775651,"sun","2","Dec","ambient","control"
"ch10","5-ch10-sun","f",194.41057391,419.65513204,-28.71,20.8770161290323,281.083917855863,"sun","5","Mar","elevated","control"
"ch10","2-ch10-shade","y",285.79897884,399.486792,-30.85,23.0342741935484,302.60757800118,"shade","2","Dec","elevated","control"
"ch10","1-ch10-shade","jj",177.83554906,400.26556396,-29.39,21.5625,279.250314693638,"shade","1","Oct","elevated","control"
"ch10","6-ch10-shade","i",297.562438520513,420.144974138462,-28.91,21.0786290322581,284.855372496872,"shade","6","Apr","elevated","control"
"ch10","1-ch10-sun","jj",145.4754271,398.81223752,-27.43,19.5866935483871,246.204846933447,"sun","1","Oct","elevated","control"
"ch10","4-ch10-shade","o",271.842211048387,419.442167222581,-29.45,21.6229838709677,293.660393531637,"shade","4","Feb","elevated","control"
"ch10","4-ch10-sun","o",188.33015576129,420.570131364516,-28.05,20.2116935483871,270.322196452871,"sun","4","Feb","elevated","control"
"ch10","3-ch10-shade","x",279.193161142857,419.656075628571,-28.81,20.9778225806452,282.804226287003,"shade","3","Jan","elevated","control"
"ch10","5-ch10-shade",NA,NA,NA,-31.15,23.3366935483871,NA,"shade","5","Mar","elevated","control"
"ch10","6-ch10-sun","i",244.873795086842,420.161495002632,-29.34,21.5120967741935,292.270087938003,"sun","6","Apr","elevated","control"
"ch10","2-ch10-sun","y",201.07350246,400.0868347,-27.97,20.1310483870968,255.844933158784,"sun","2","Dec","elevated","control"
"ch10","3-ch10-sun","x",220.3218118,419.666830871429,-27.17,19.3245967741936,254.60805814064,"sun","3","Jan","elevated","control"
"ch11","1-ch11-sun","jj",124.73432876,399.73587036,-27.63,19.7883064516129,250.051141170808,"sun","1","Oct","ambient","control"
"ch11","1-ch11-shade","jj",260.87366992,400.6668213,-29.73,21.9052419354839,285.112587088528,"shade","1","Oct","ambient","control"
"ch11","3-ch11-sun","w",153.866213742857,420.013126928571,-29.2,21.3709677419355,289.757285703018,"sun","3","Jan","ambient","control"
"ch11","2-ch11-shade","z",281.4620603,400.3248108,-31.71,23.9012096774194,317.350328231058,"shade","2","Dec","ambient","control"
"ch11","3-ch11-shade","w",203.940797542857,419.7461112,-29.18,21.3508064516129,289.229068689772,"shade","3","Jan","ambient","control"
