"Date","chamber","PPFD_day"
2013-10-01,"C01",24.21791844
2013-10-01,"C02",22.91720802
2013-10-01,"C03",21.79000698
2013-10-01,"C04",17.32676898
2013-10-01,"C05",26.20079292
2013-10-01,"C06",25.76282958
2013-10-01,"C07",25.26289182
2013-10-01,"C08",19.7292550457143
2013-10-01,"C09",23.7441859328571
2013-10-01,"C10",26.6449863
2013-10-01,"C11",25.41869292
2013-10-01,"C12",22.51064634
2013-10-02,"C01",37.73293626
2013-10-02,"C02",37.16867424
2013-10-02,"C03",35.7936819
2013-10-02,"C04",26.60416566
2013-10-02,"C05",41.60718498
2013-10-02,"C06",40.61330742
2013-10-02,"C07",40.07089608
2013-10-02,"C08",31.2390471
2013-10-02,"C09",37.1965338692308
2013-10-02,"C10",41.98605204
2013-10-02,"C11",39.74002254
2013-10-02,"C12",34.7173455
2013-10-03,"C01",20.313639
2013-10-03,"C02",19.2305094
2013-10-03,"C03",18.67715022
2013-10-03,"C04",10.7738754
2013-10-03,"C05",22.04594472
2013-10-03,"C06",21.38194692
2013-10-03,"C07",20.52051786
2013-10-03,"C08",18.44800494
2013-10-03,"C09",17.3405007171429
2013-10-03,"C10",22.3753938
2013-10-03,"C11",21.56863134
2013-10-03,"C12",16.9384431
2013-10-04,"C01",38.58161832
2013-10-04,"C02",37.46283372
2013-10-04,"C03",36.9364713
2013-10-04,"C04",22.26572334
2013-10-04,"C05",43.03862262
2013-10-04,"C06",41.85405792
2013-10-04,"C07",40.22804718
2013-10-04,"C08",33.40217502
2013-10-04,"C09",34.2208398042857
2013-10-04,"C10",42.43788276
2013-10-04,"C11",41.29510692
2013-10-04,"C12",34.43353722
2013-10-05,"C01",34.93308486
2013-10-05,"C02",33.83783544
2013-10-05,"C03",32.83011822
2013-10-05,"C04",15.1536789
2013-10-05,"C05",38.84816268
2013-10-05,"C06",37.97681694
2013-10-05,"C07",32.25054288
2013-10-05,"C08",33.26814294
2013-10-05,"C09",31.5872136692308
2013-10-05,"C10",37.94660292
2013-10-05,"C11",37.61868984
2013-10-05,"C12",31.52857578
2013-10-06,"C01",38.9792118
2013-10-06,"C02",36.85531284
2013-10-06,"C03",36.9596206885714
2013-10-06,"C04",11.67753708
2013-10-06,"C05",42.76997862
2013-10-06,"C06",41.52984006
2013-10-06,"C07",29.38128108
2013-10-06,"C08",33.38552178
2013-10-06,"C09",38.1677772857143
2013-10-06,"C10",41.13143538
2013-10-06,"C11",40.798125
2013-10-06,"C12",34.2122685
2013-10-07,"C01",33.44849292
2013-10-07,"C02",30.7184751171429
2013-10-07,"C03",31.40641092
2013-10-07,"C04",12.99873168
2013-10-07,"C05",35.90827356
2013-10-07,"C06",35.64251112
2013-10-07,"C07",17.08617192
2013-10-07,"C08",30.11794908
2013-10-07,"C09",33.52425228
2013-10-07,"C10",34.9284207
2013-10-07,"C11",33.6510549
2013-10-07,"C12",27.63851592
2013-10-08,"C01",33.85442298
2013-10-08,"C02",31.89381306
2013-10-08,"C03",31.38795624
2013-10-08,"C04",10.4040477
2013-10-08,"C05",36.64110216
2013-10-08,"C06",36.09596076
2013-10-08,"C07",14.53123368
2013-10-08,"C08",30.45785112
2013-10-08,"C09",30.60150774
2013-10-08,"C10",35.70778572
2013-10-08,"C11",34.32359358
2013-10-08,"C12",27.50378406
2013-10-09,"C01",40.85065182
2013-10-09,"C02",37.78982166
2013-10-09,"C03",38.16141144
2013-10-09,"C04",11.3506323
2013-10-09,"C05",45.15384324
2013-10-09,"C06",43.89771342
2013-10-09,"C07",21.07821876
2013-10-09,"C08",34.65205278
2013-10-09,"C09",38.97600648
2013-10-09,"C10",45.24787434
2013-10-09,"C11",42.94070772
2013-10-09,"C12",34.7283339
2013-10-10,"C01",38.6772131657143
2013-10-10,"C02",36.26977278
2013-10-10,"C03",36.4502656028571
2013-10-10,"C04",9.63492024
2013-10-10,"C05",42.91848306
2013-10-10,"C06",41.89911114
2013-10-10,"C07",13.04510658
2013-10-10,"C08",29.91465732
2013-10-10,"C09",39.9521582014286
2013-10-10,"C10",41.16592506
2013-10-10,"C11",40.86979968
2013-10-10,"C12",33.08191704
2013-10-11,"C01",37.74219348
2013-10-11,"C02",34.90674702
2013-10-11,"C03",35.4564565542857
2013-10-11,"C04",12.43859118
2013-10-11,"C05",42.09349152
2013-10-11,"C06",40.6873509
2013-10-11,"C07",11.10559698
2013-10-11,"C08",28.44075816
2013-10-11,"C09",37.4711730257143
2013-10-11,"C10",41.58638076
2013-10-11,"C11",39.70150362
2013-10-11,"C12",33.94929078
2013-10-12,"C01",40.21770588
2013-10-12,"C02",38.15757066
2013-10-12,"C03",37.49483748
2013-10-12,"C04",14.07565218
2013-10-12,"C05",45.34889928
2013-10-12,"C06",43.32381372
2013-10-12,"C07",9.36885564
2013-10-12,"C08",29.03689956
2013-10-12,"C09",36.8537427514286
2013-10-12,"C10",42.4323615342857
2013-10-12,"C11",40.0055394
2013-10-12,"C12",36.03889362
2013-10-13,"C01",38.05629138
2013-10-13,"C02",36.6149987914286
2013-10-13,"C03",35.25987294
2013-10-13,"C04",14.6787892542857
2013-10-13,"C05",43.01231646
2013-10-13,"C06",41.51833308
2013-10-13,"C07",7.9066905
2013-10-13,"C08",27.90449508
2013-10-13,"C09",37.26290388
2013-10-13,"C10",39.8003310342857
2013-10-13,"C11",37.74916554
2013-10-13,"C12",34.4980938
2013-10-14,"C01",38.60461584
2013-10-14,"C02",36.83403288
2013-10-14,"C03",36.31705008
2013-10-14,"C04",14.74646226
2013-10-14,"C05",42.8941239
2013-10-14,"C06",41.64304632
2013-10-14,"C07",6.63740862
2013-10-14,"C08",27.1917657
2013-10-14,"C09",33.1432623171429
2013-10-14,"C10",40.0077486421978
2013-10-14,"C11",35.93436396
2013-10-14,"C12",33.5218446
2013-10-15,"C01",40.31608626
2013-10-15,"C02",38.5588440085714
2013-10-15,"C03",37.5492432
2013-10-15,"C04",14.22038082
2013-10-15,"C05",45.4317762
2013-10-15,"C06",43.73794488
2013-10-15,"C07",30.11452668
2013-10-15,"C08",31.67333292
2013-10-15,"C09",34.6615965
2013-10-15,"C10",44.6802758828571
2013-10-15,"C11",39.16532484
2013-10-15,"C12",37.22515836
2013-10-16,"C01",40.4087483485714
2013-10-16,"C02",38.65740876
2013-10-16,"C03",37.9939062
2013-10-16,"C04",19.26403392
2013-10-16,"C05",44.86390056
2013-10-16,"C06",41.73895302
2013-10-16,"C07",42.9602994
2013-10-16,"C08",45.46045476
2013-10-16,"C09",39.70158858
2013-10-16,"C10",47.54859696
2013-10-16,"C11",43.54359498
2013-10-16,"C12",44.09053722
2013-10-17,"C01",30.35383458
2013-10-17,"C02",29.35356414
2013-10-17,"C03",28.18155096
2013-10-17,"C04",33.14451096
2013-10-17,"C05",32.11468986
2013-10-17,"C06",31.61406558
2013-10-17,"C07",29.95018182
2013-10-17,"C08",32.06289906
2013-10-17,"C09",28.41281058
2013-10-17,"C10",33.41911056
2013-10-17,"C11",30.71374782
2013-10-17,"C12",31.0682547
2013-10-18,"C01",34.5227001
2013-10-18,"C02",33.50832618
2013-10-18,"C03",32.41522914
2013-10-18,"C04",38.48601984
2013-10-18,"C05",36.92530566
2013-10-18,"C06",36.53481936
2013-10-18,"C07",34.65184962
2013-10-18,"C08",37.08203382
2013-10-18,"C09",30.4769775728571
2013-10-18,"C10",38.28529878
2013-10-18,"C11",34.99429464
2013-10-18,"C12",35.92578846
2013-10-19,"C01",40.49005758
2013-10-19,"C02",38.5350843
2013-10-19,"C03",38.0006862
2013-10-19,"C04",45.02862774
2013-10-19,"C05",43.30581426
2013-10-19,"C06",42.79820454
2013-10-19,"C07",41.80622262
2013-10-19,"C08",44.42695542
2013-10-19,"C09",38.8150536771429
2013-10-19,"C10",45.9410394
2013-10-19,"C11",41.62196862
2013-10-19,"C12",42.74021172
2013-10-20,"C01",28.63597902
2013-10-20,"C02",28.0713186
2013-10-20,"C03",26.34217206
2013-10-20,"C04",31.46169498
2013-10-20,"C05",30.1883184
2013-10-20,"C06",29.89929252
2013-10-20,"C07",28.52028654
2013-10-20,"C08",30.23750562
2013-10-20,"C09",24.4369947642857
2013-10-20,"C10",31.4163627
2013-10-20,"C11",28.8119325
2013-10-20,"C12",29.40727842
2013-10-21,"C01",22.80775758
2013-10-21,"C02",21.91436778
2013-10-21,"C03",21.03612858
2013-10-21,"C04",25.32009132
2013-10-21,"C05",24.21931374
2013-10-21,"C06",24.06542448
2013-10-21,"C07",23.61527526
2013-10-21,"C08",24.80396208
2013-10-21,"C09",22.8831647571429
2013-10-21,"C10",24.94287816
2013-10-21,"C11",23.62536156
2013-10-21,"C12",24.57674832
2013-10-22,"C01",11.16523572
2013-10-22,"C02",10.89246414
2013-10-22,"C03",10.22786634
2013-10-22,"C04",12.82841712
2013-10-22,"C05",12.2301882
2013-10-22,"C06",12.1119828
2013-10-22,"C07",11.4859644
2013-10-22,"C08",12.3219141
2013-10-22,"C09",10.4300681446154
2013-10-22,"C10",12.80480388
2013-10-22,"C11",11.59704078
2013-10-22,"C12",12.02600622
2013-10-23,"C01",35.17969758
2013-10-23,"C02",33.82651416
2013-10-23,"C03",33.0115002
2013-10-23,"C04",38.89304424
2013-10-23,"C05",38.17393512
2013-10-23,"C06",37.56176208
2013-10-23,"C07",36.01399752
2013-10-23,"C08",38.30206434
2013-10-23,"C09",35.9503514314286
2013-10-23,"C10",39.59829462
2013-10-23,"C11",36.5624103
2013-10-23,"C12",37.33593024
2013-10-24,"C01",40.08754866
2013-10-24,"C02",39.11103516
2013-10-24,"C03",37.86614916
2013-10-24,"C04",45.03669132
2013-10-24,"C05",43.82125536
2013-10-24,"C06",43.1370168
2013-10-24,"C07",41.91919254
2013-10-24,"C08",44.16866808
2013-10-24,"C09",34.71015012
2013-10-24,"C10",46.78319364
2013-10-24,"C11",42.1561404
2013-10-24,"C12",43.07109042
2013-10-25,"C01",27.27198246
2013-10-25,"C02",NA
2013-10-25,"C03",24.9429813
2013-10-25,"C04",30.58027812
2013-10-25,"C05",NA
2013-10-25,"C06",29.15479164
2013-10-25,"C07",28.02901692
2013-10-25,"C08",29.7971922
2013-10-25,"C09",19.4148460414286
2013-10-25,"C10",30.57971232
2013-10-25,"C11",27.97072254
2013-10-25,"C12",29.09302578
2013-10-26,"C01",42.50408388
2013-10-26,"C02",41.14122192
2013-10-26,"C03",40.01098098
2013-10-26,"C04",47.57997708
2013-10-26,"C05",45.78045798
2013-10-26,"C06",45.13910046
2013-10-26,"C07",44.1027399
2013-10-26,"C08",47.02911396
2013-10-26,"C09",41.4122181171429
2013-10-26,"C10",49.36179702
2013-10-26,"C11",43.903311
2013-10-26,"C12",45.17061006
2013-10-27,"C01",32.07783252
2013-10-27,"C02",31.1071467
2013-10-27,"C03",29.86384362
2013-10-27,"C04",35.7194493
2013-10-27,"C05",34.5105411
2013-10-27,"C06",34.30168092
2013-10-27,"C07",32.82861072
2013-10-27,"C08",35.21932452
2013-10-27,"C09",32.22122184
2013-10-27,"C10",36.09120276
