"leaflight","temp","gm"
"shade-high","ambient",0.18438002437811
"shade-high","elevated",0.176961026685886
"shade-low","ambient",0.117049048515243
"shade-low","elevated",0.115702942746627
"sun-high","ambient",0.163164069853864
"sun-high","elevated",0.152737695733726
