"Date","PPFD_day"
2013-10-01,29.51796
2013-10-02,43.57782
2013-10-03,25.2027
2013-10-04,44.82024
2013-10-05,40.88676
2013-10-06,44.292
2013-10-07,38.6202
2013-10-08,39.38184
2013-10-09,47.39784
2013-10-10,45.2313
2013-10-11,45.96732
2013-10-12,48.65106
2013-10-13,47.02644
2013-10-14,48.18078
2013-10-15,50.98188
2013-10-16,50.22024
2013-10-17,37.60518
2013-10-18,43.79784
2013-10-19,50.50266
2013-10-20,35.92272
2013-10-21,30.62148
2013-10-22,15.29472
2013-10-23,42.45504
2013-10-24,49.48428
2013-10-25,35.41716
2013-10-26,51.9738
2013-10-27,40.96302
2013-10-28,32.32044
2013-10-29,18.73374
2013-10-30,48.88458
2013-10-31,52.34562
2013-11-01,41.7408
2013-11-02,45.21666
2013-11-03,39.00228
2013-11-04,57.10758
2013-11-05,32.47368
2013-11-06,53.74404
2013-11-07,51.97524
2013-11-08,45.2919
2013-11-09,49.41456
2013-11-10,9.1542
2013-11-11,16.819635
2013-11-12,31.32732
2013-11-13,56.49492
2013-11-14,60.97062
2013-11-15,37.07448
2013-11-16,22.07718
2013-11-17,12.03702
2013-11-18,10.72596
2013-11-19,48.85128
2013-11-20,60.30912
2013-11-21,43.88838
2013-11-22,18.52674
2013-11-23,32.9802
2013-11-24,55.44366
2013-11-25,43.4384290384615
2013-11-26,51.4360586013986
2013-11-27,62.06124
2013-11-28,56.16294
2013-11-29,13.03998
2013-11-30,36.53664
2013-12-01,43.30122
2013-12-02,NA
2013-12-03,NA
2013-12-04,46.3311
2013-12-05,56.0985
2013-12-06,65.62584
2013-12-07,59.20518
2013-12-08,64.1637
2013-12-09,31.37184
2013-12-10,62.47716
2013-12-11,64.4688
2013-12-12,59.40918
2013-12-13,64.55442
2013-12-14,30.7266
2013-12-15,44.24064
2013-12-16,46.14756
2013-12-17,65.00532
2013-12-18,55.65534
2013-12-19,64.88622
2013-12-20,55.08276
2013-12-21,59.78982
2013-12-22,43.69578
2013-12-23,26.94156
2013-12-24,13.79688
2013-12-25,9.28638
2013-12-26,59.79924
2013-12-27,49.6631014285714
2013-12-28,58.623
2013-12-29,62.04048
2013-12-30,62.28246
2013-12-31,58.92522
2014-01-01,44.96748
2014-01-02,24.80724
2014-01-03,42.45222
2014-01-04,60.15984
2014-01-05,56.65938
2014-01-06,62.84748
2014-01-07,17.5596
2014-01-08,15.33456
2014-01-09,23.44584
2014-01-10,40.42782
2014-01-11,54.8541
2014-01-12,53.6274
2014-01-13,58.58832
2014-01-14,62.75286
2014-01-15,61.7181
2014-01-16,63.5461842857143
2014-01-17,62.11938
2014-01-18,62.6919
2014-01-19,53.43492
2014-01-20,26.45802
2014-01-21,22.4847
2014-01-22,8.06904
2014-01-23,18.78102
2014-01-24,28.40628
2014-01-25,32.04048
2014-01-26,15.84048
2014-01-27,59.80734
2014-01-28,60.4101
2014-01-29,59.99124
2014-01-30,58.97664
2014-01-31,59.55504
2014-02-01,50.21052
2014-02-02,49.75236
2014-02-03,60.07632
2014-02-04,17.56446
2014-02-05,21.96786
2014-02-06,31.0824
2014-02-07,54.80982
2014-02-08,53.58096
2014-02-09,51.46362
2014-02-10,37.2302307692308
2014-02-11,33.49272
2014-02-12,27.3143035714286
2014-02-13,37.0035
2014-02-14,21.2984142857143
2014-02-15,14.99346
2014-02-16,6.3681
2014-02-17,19.8834
2014-02-18,29.0226
2014-02-19,8.56698
2014-02-20,49.34304
2014-02-21,51.8973042857143
2014-02-22,38.44752
2014-02-23,23.763
2014-02-24,47.2477371428571
2014-02-25,49.3269
2014-02-26,37.0668
2014-02-27,8.80522519480519
2014-02-28,7.03824
2014-03-01,10.03302
2014-03-02,10.93842
2014-03-03,20.5182
2014-03-04,24.21168
2014-03-05,32.8053
2014-03-06,20.11758
2014-03-07,28.04532
2014-03-08,45.1209
2014-03-09,40.72902
2014-03-10,38.586
2014-03-11,43.04196
2014-03-12,29.20266
2014-03-13,28.56438
2014-03-14,35.30646
2014-03-15,22.47768
2014-03-16,26.30814
2014-03-17,43.6161
2014-03-18,41.30844
2014-03-19,35.13192
2014-03-20,39.99846
2014-03-21,24.66744
2014-03-22,33.70032
2014-03-23,22.50576
2014-03-24,8.40072
2014-03-25,28.47732
2014-03-26,10.54416
2014-03-27,6.30576
2014-03-28,14.12832
2014-03-29,21.0786
2014-03-30,25.81536
2014-03-31,27.05628
2014-04-01,30.11946
2014-04-02,33.174
2014-04-03,25.3449
2014-04-04,8.9388
2014-04-05,18.50958
2014-04-06,13.21608
2014-04-07,12.33018
2014-04-08,28.8849
2014-04-09,31.08924
2014-04-10,9.23568428571429
2014-04-11,15.34938
2014-04-12,14.46594
2014-04-13,18.7935
2014-04-14,18.42042
2014-04-15,NA
2014-04-16,NA
2014-04-17,28.5321
2014-04-18,27.5595
2014-04-19,26.19912
2014-04-20,26.98056
2014-04-21,27.94362
2014-04-22,23.00724
2014-04-23,21.35484
2014-04-24,23.76984
2014-04-25,13.78758
2014-04-26,9.82824
2014-04-27,8.36244
2014-04-28,NA
2014-04-29,NA
2014-04-30,NA
