"chamber","id","pair_id","Ci","CO2R","c13","D","ci_bar","leaf","campaign","Month","temp","drydown"
"ch01","5-ch01-shade","c",198.5044952,419.550487893548,-30.33,22.5100806451613,308.865576035322,"shade","5","Mar","ambient","drought"
"ch01","5-ch01-sun","c",196.316608209677,420.007355722581,-29.14,21.3104838709677,288.72063474124,"sun","5","Mar","ambient","drought"
"ch01","6-ch01-sun","k",126.867926935897,419.32451374359,-29.08,21.25,287.220246202418,"sun","6","Apr","ambient","drought"
"ch01","6-ch01-shade","k",110.611717838421,419.441350828947,-30.65,22.8326612903226,314.285380121356,"shade","6","Apr","ambient","drought"
"ch03","5-ch03-shade","a",246.046862780645,420.320698396774,-31.11,23.2963709677419,322.867310663651,"shade","5","Mar","ambient","drought"
"ch03","6-ch03-shade","g",203.390973710526,419.986972207895,-30.41,22.5907258064516,310.563733890879,"shade","6","Apr","ambient","drought"
"ch03","6-ch03-sun","g",240.056395155263,419.856326452632,-28.62,20.7862903225806,279.670230041667,"sun","6","Apr","ambient","drought"
"ch03","5-ch03-sun","a",264.209625332258,419.873523348387,-28.3,20.4637096774194,274.175869118034,"sun","5","Mar","ambient","drought"
"ch04","5-ch04-sun","b",215.902755680645,420.470995496774,-28.17,20.3326612903226,272.326095677027,"sun","5","Mar","elevated","drought"
"ch04","5-ch04-shade","b",232.376103193548,420.147919683871,-31.28,23.4677419354839,325.661467774897,"shade","5","Mar","elevated","drought"
"ch04","6-ch04-shade","g",172.991873994737,419.405468589474,-29.64,21.8145161290323,296.90013403885,"shade","6","Apr","elevated","drought"
"ch04","6-ch04-sun","g",87.9148695884211,419.882212584211,-28.28,20.4435483870968,273.837422539676,"sun","6","Apr","elevated","drought"
"ch06","6-ch06-shade","j",134.941556410526,419.577480115789,-27.52,19.6774193548387,260.571590064041,"shade","6","Apr","elevated","drought"
"ch06","5-ch06-shade","c",212.764093677419,420.296742109677,-29.89,22.0665322580645,301.836827334961,"shade","5","Mar","elevated","drought"
"ch06","5-ch06-sun","c",174.670170945161,419.526479406452,-27.91,20.070564516129,267.244583811515,"sun","5","Mar","elevated","drought"
"ch06","6-ch06-sun","j",137.142078364103,419.843026184615,-27.69,19.8487903225806,263.661255281458,"sun","6","Apr","elevated","drought"
"ch08","5-ch08-shade","a",284.766136970968,419.708792406452,-29.81,21.9858870967742,300.038676292004,"shade","5","Mar","elevated","drought"
"ch08","5-ch08-sun","a",176.192085623684,419.746109810526,-28.3,20.4637096774194,274.092668545629,"sun","5","Mar","elevated","drought"
"ch08","6-ch08-shade","k",264.495295376316,419.651244310526,-30,22.1774193548387,303.264884263744,"shade","6","Apr","elevated","drought"
"ch08","6-ch08-sun","k",170.751343030769,419.466864166667,-27.72,19.8790322580645,263.940696001016,"sun","6","Apr","elevated","drought"
"ch11","5-ch11-shade","b",192.199226735484,420.338845535484,-29.86,22.0362903225806,301.350321696023,"shade","5","Mar","ambient","drought"
"ch11","6-ch11-shade","j",187.226721518421,420.252320944737,-28.87,21.0383064516129,284.239304995126,"shade","6","Apr","ambient","drought"
"ch11","6-ch11-sun","j",135.789008665789,420.438825910526,-27.84,20,266.619743260334,"sun","6","Apr","ambient","drought"
"ch11","5-ch11-sun","b",226.606151146154,419.251172187179,-28.63,20.7963709677419,279.438932839091,"sun","5","Mar","ambient","drought"
