"Month","chamber","leaf","drydown","light","Trmmol","Cond","leaflight","mid","pre","temp","pre_mp","mid_mp","wpdiff","leafK"
"Feb","ch02","shade","control","low",3.80230299090323,0.209945329290323,"shade-low",14.9,3.7,"elevated",-0.37,-1.49,1.12,3.39491338473502
"Feb","ch02","sun","control","high",3.87746287003226,0.209706210903226,"sun-high",16.9,2.4,"elevated",-0.24,-1.69,1.45,2.67411232416018
"Feb","ch03","shade","control","low",1.25808579622581,0.142894156935484,"shade-low",8.9,2.9,"ambient",-0.29,-0.89,0.6,2.09680966037634
"Feb","ch03","sun","control","high",2.22512026151613,0.252494126419355,"sun-high",13.1,4.6,"ambient",-0.46,-1.31,0.85,2.61778854296015
"Feb","ch04","shade","control","low",1.53895435587097,0.100237515387097,"shade-low",14.7,5.3,"elevated",-0.53,-1.47,0.94,1.63718548496911
"Feb","ch04","sun","control","high",4.76266491467742,0.217163119,"sun-high",28.2,5.3,"elevated",-0.53,-2.82,2.29,2.07976633828708
"Feb","ch05","shade","control","low",2.92440855509677,0.230582660741935,"shade-low",21.2,2.2,"ambient",-0.22,-2.12,1.9,1.53916239741935
"Feb","ch05","sun","control","high",2.86894162309677,0.161615808322581,"sun-high",19.2,2.5,"ambient",-0.25,-1.92,1.67,1.71792911562681
"Feb","ch06","shade","control","low",0.968071789096774,0.0790647228709677,"shade-low",14.7,6.1,"elevated",-0.61,-1.47,0.86,1.12566487104276
"Feb","ch06","sun","control","high",1.43458061112903,0.114757577225806,"sun-high",21.7,6.6,"elevated",-0.66,-2.17,1.51,0.950053384853664
"Feb","ch07","shade","control","low",1.10596434441935,0.113430139451613,"shade-low",9.2,1.9,"ambient",-0.19,-0.92,0.73,1.51501964988953
"Feb","ch07","sun","control","high",0.930410668258065,0.108021775774194,"sun-high",14.6,2.4,"ambient",-0.24,-1.46,1.22,0.762631695293496
"Feb","ch08","shade","control","low",0.801941347064516,0.0929340044193548,"shade-low",8.9,3.6,"elevated",-0.36,-0.89,0.53,1.5130968812538
"Feb","ch08","sun","control","high",1.26970362358065,0.0966079577096774,"sun-high",10.1,4.6,"elevated",-0.46,-1.01,0.55,2.3085520428739
"Feb","ch09","shade","control","low",1.96854676474194,0.148781922032258,"shade-low",16.9,2.4,"ambient",-0.24,-1.69,1.45,1.35761845844271
"Feb","ch09","sun","control","high",1.27261990551613,0.0674776511935484,"sun-high",12.6,2.2,"ambient",-0.22,-1.26,1.04,1.2236729860732
"Feb","ch10","shade","control","low",1.97976654567742,0.135688629548387,"shade-low",20.9,1.5,"elevated",-0.15,-2.09,1.94,1.02049821942135
"Feb","ch10","sun","control","high",1.79831153125806,0.106555370258065,"sun-high",14.2,1.7,"elevated",-0.17,-1.42,1.25,1.43864922500645
"Feb","ch11","shade","control","low",1.07901212496774,0.080624749483871,"shade-low",14.9,3.2,"ambient",-0.32,-1.49,1.17,0.922232585442515
"Feb","ch11","sun","control","high",1.10312896425806,0.0709160413548387,"sun-high",18.1,3.1,"ambient",-0.31,-1.81,1.5,0.735419309505376
"Feb","ch12","shade","control","low",1.83966889009677,0.183515363516129,"shade-low",12.7,1.6,"elevated",-0.16,-1.27,1.11,1.65735936044754
"Feb","ch12","sun","control","high",1.46541151893548,0.141051466806452,"sun-high",13.4,2.2,"elevated",-0.22,-1.34,1.12,1.30840314190668
"Jan","ch01","shade","control","low",2.20982413414286,0.212507830285714,"shade-low",17.8,2.2,"ambient",-0.22,-1.78,1.56,1.41655393214286
"Jan","ch01","sun","control","high",2.62000867614286,0.150709117571429,"sun-high",17.8,2.3,"ambient",-0.23,-1.78,1.55,1.69032817815668
"Jan","ch02","shade","control","low",3.6870316122,0.241911261,"shade-low",22.4,3.4,"elevated",-0.34,-2.24,1.9,1.94054295378947
"Jan","ch02","sun","control","high",1.658803821,0.0715905024,"sun-high",25.8,3.6,"elevated",-0.36,-2.58,2.22,0.747208928378378
"Jan","ch03","shade","control","low",2.7905263232,0.1962598618,"shade-low",11.3,2.9,"ambient",-0.29,-1.13,0.84,3.32205514666667
"Jan","ch03","sun","control","high",2.4582640556,0.1768735674,"sun-high",16.1,3,"ambient",-0.3,-1.61,1.31,1.8765374470229
"Jan","ch04","shade","control","low",1.8779441526,0.1155812444,"shade-low",13.7,3.9,"elevated",-0.39,-1.37,0.98,1.91626954346939
"Jan","ch04","sun","control","high",2.0242197528,0.1269397408,"sun-high",16.9,3.7,"elevated",-0.37,-1.69,1.32,1.53349981272727
"Jan","ch05","shade","control","low",1.41120772383333,0.165092370166667,"shade-low",10.9,2.1,"ambient",-0.21,-1.09,0.88,1.6036451407197
"Jan","ch05","sun","control","high",0.967655309571429,0.110825088142857,"sun-high",16.8,2.6,"ambient",-0.26,-1.68,1.42,0.68144740110664
"Jan","ch06","shade","control","low",2.63074043557143,0.151865184428571,"shade-low",14.7,2.5,"elevated",-0.25,-1.47,1.22,2.15634461932084
"Jan","ch06","sun","control","high",1.59538614428571,0.0562160097142857,"sun-high",19.9,2.6,"elevated",-0.26,-1.99,1.73,0.922188522708505
"Jan","ch07","shade","control","low",2.20022220428571,0.194281393571429,"shade-low",17,3.1,"ambient",-0.31,-1.7,1.39,1.582893672148
